Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
1086811256.swc,43736,26688200.0,1,3637,5326,3730,316576.0,446176.0,174306,474.553,13248200.0,20131000000.0,7486070000000.0,304259.0,349767.0,217,0.927577,5.03492,0.847881,73.3422,69.4766,1.85412,1086811256
1127957016.swc,2053,78024.6,1,110,152,117,110272.0,79296.0,17292,663.263,644313.0,1349900000.0,617561000000.0,94408.0,140176.0,25,0.911811,10.2105,0.875703,69.3319,63.9207,1.28965,1127957016
1218293403.swc,15594,106211.0,1,1004,1500,1010,337376.0,418944.0,174438,549.309,4782320.0,8584860000.0,3576940000000.0,342212.0,406734.0,182,0.931555,6.86,0.841067,75.5972,71.3228,1.43187,1218293403
1288451104.swc,23473,64339.8,1,1771,2424,1796,334688.0,449248.0,174438,523.737,7105780.0,11991800000.0,3793140000000.0,342080.0,435921.0,190,0.929788,5.85767,0.828338,68.2541,64.226,1.71076,1288451104
1420166275.swc,66327,1049660.0,1,5357,9311,5406,504608.0,604288.0,174438,478.667,19988500.0,30049000000.0,6227040000000.0,526111.0,651324.0,426,0.930819,5.1655,0.831286,87.5603,83.0512,1.88417,1420166275
1522447195.swc,61523,921178.0,1,4890,8091,4948,542560.0,667296.0,174471,480.403,18590000.0,28776100000.0,10610700000000.0,520519.0,1064000.0,680,0.933518,5.22655,0.860005,82.5547,78.5218,2.0195,1522447195
16031183876.swc,1546,51471.9,1,64,91,67,119424.0,41312.0,139689,940.255,482070.0,1477110000.0,973673000000.0,122395.0,107546.0,22,0.923303,11.2308,0.90533,71.5994,67.7894,1.2632,16031183876
1756894962.swc,575,3709640.0,1,16,27,20,21280.0,48448.0,47223,1035.49,187435.0,768456000.0,807574000000.0,36472.4,54287.1,9,0.942796,17.9259,0.911678,90.3627,87.8072,1.16622,1756894962
1799164938.swc,51846,119079.0,1,3767,1319,3804,795296.0,769120.0,174471,463.931,15703100.0,23616300000.0,8618510000000.0,809643.0,271971.0,136,0.928602,5.23958,0.833204,17.7794,16.8958,1.95967,1799164938
1811824039.swc,33118,1108470.0,1,2708,4187,2764,384256.0,564832.0,174273,534.321,10041000.0,17015900000.0,5780780000000.0,373856.0,511806.0,259,0.930763,5.04299,0.828627,77.7673,73.3845,1.81374,1811824039
1917024671.swc,3591,56801000.0,1,186,175,195,115872.0,112672.0,56496,505.428,1113900.0,1863390000.0,935897000000.0,91287.1,201844.0,17,0.926071,14.9657,0.86116,49.6303,43.5192,1.29555,1917024671
1957016276.swc,4699,64339.8,1,318,560,334,89440.0,167968.0,58542,821.614,1466540.0,4429440000.0,5696170000000.0,92103.6,164585.0,82,0.921845,5.80893,0.827986,89.8302,83.1221,1.33313,1957016276
