Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
42140005843_sort.swc,11970,212508000.0,4,943,1892,950,379290.0,155800.0,81510,393.193,3637890.0,4793050000.0,1100000000000.0,289294.0,341778.0,259,0.931715,5.32611,0.817935,99.8765,93.5764,1.57733,interneuron,42140005843
30694602801_sort.swc,13050,145129000.0,5,930,1867,938,273990.0,347136.0,115137,396.84,3974310.0,5274830000.0,1060000000000.0,202330.0,270338.0,117,0.931536,5.98929,0.792374,99.2728,93.4673,1.54263,interneuron,30694602801
2615799357_sort.swc,80368,165551000.0,5,6347,12724,6378,477080.0,687330.0,174141,395.877,24278900.0,30671100000.0,6870000000000.0,466969.0,663151.0,423,0.927792,5.31617,0.827405,100.095,94.8847,2.08236,pyramidal neuron,2615799357
31465273626_sort.swc,11614,204165000.0,3,400,801,402,458820.0,490200.0,122001,557.512,3664470.0,6745720000.0,2050000000000.0,277596.0,348112.0,56,0.930095,13.4981,0.777476,101.557,93.1071,1.39337,interneuron,31465273626
4959974563_sort.swc,49548,248016000.0,2,3711,7441,3731,710880.0,445220.0,140745,475.699,14988200.0,23076900000.0,8080000000000.0,396367.0,731894.0,386,0.932569,5.65865,0.855985,100.011,94.1414,1.93411,pyramidal neuron,4959974563
37287145175_sort.swc,21300,240515000.0,8,1196,2400,1205,481060.0,585988.0,106887,442.046,6598680.0,10302000000.0,4050000000000.0,488300.0,536713.0,133,0.927479,7.87458,0.811016,101.121,94.1124,1.52918,pyramidal neuron,37287145175
3723298841_sort.swc,4958,150781000.0,7,292,591,300,230810.0,146370.0,51843,300.331,1563290.0,1584190000.0,243000000000.0,162640.0,226765.0,29,0.937261,7.38748,0.884549,102.852,96.9139,1.4475,interneuron,3723298841
33908809525_sort.swc,6523,217113000.0,3,301,603,303,304130.0,223840.0,114642,677.134,2061540.0,4950640000.0,2740000000000.0,253637.0,370823.0,102,0.921095,9.81592,0.895115,104.955,97.5065,1.49224,interneuron,33908809525
36940663302_sort.swc,15078,243237000.0,4,1103,2214,1112,201700.0,289920.0,99759,420.391,4613560.0,6390350000.0,1470000000000.0,213289.0,251377.0,126,0.92818,5.80985,0.808669,100.299,95.8354,1.58766,interneuron,36940663302
3228281885_sort.swc,14026,213381000.0,4,1154,2312,1159,190500.0,259620.0,66429,427.935,4229340.0,5891330000.0,1140000000000.0,162690.0,203584.0,139,0.93139,5.06618,0.845612,101.659,94.9308,1.61731,interneuron,3228281885
