Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
42629445067.swc,3311,180968.0,1,99,157,102,219872.0,106656.0,108108,630.682,1039990.0,2153870000.0,970726000000.0,180077.0,265803.0,19,0.913112,19.4076,0.935228,83.8887,72.5852,1.31372,42629445067
4274807952.swc,66417,1500240.0,1,5432,368,5486,629568.0,537312.0,174174,454.613,19951100.0,29264900000.0,9355500000000.0,430875.0,124360.0,108,0.92456,4.55978,0.825489,3.39191,3.26063,1.84172,4274807952
42818425424.swc,38017,25735.9,1,2121,4238,2145,1070050.0,711232.0,174141,628.07,11793400.0,23922700000.0,9529660000000.0,658241.0,899006.0,301,0.924933,7.89877,0.840892,100.58,94.5376,1.85225,42818425424
4291614432.swc,58568,115812.0,1,5246,9083,5334,391520.0,494688.0,139953,416.124,17417100.0,23195300000.0,6179810000000.0,339127.0,553486.0,518,0.932542,4.5169,0.839711,86.7241,81.687,2.00132,4291614432
42949353565.swc,15510,54739.1,1,833,1445,839,361536.0,362016.0,114576,686.172,4804560.0,10719500000.0,4234270000000.0,364094.0,439032.0,155,0.923086,7.49758,0.885083,89.8459,84.0983,1.59926,42949353565
43005421207.swc,9892,102944.0,1,543,948,553,318560.0,217664.0,107250,835.879,3081040.0,8359650000.0,3720170000000.0,251609.0,469492.0,121,0.909848,8.25949,0.858338,90.6692,82.333,1.40558,43005421207
4302419097.swc,4412,26552.7,1,91,183,92,250272.0,305280.0,116721,504.209,1393440.0,2263900000.0,1099990000000.0,271213.0,425907.0,33,0.918277,23.1038,0.852549,103.289,94.6565,1.18777,4302419097
4303207108.swc,24617,80475.0,1,1040,2063,1054,984128.0,907712.0,174306,624.038,7704200.0,15521100000.0,6047400000000.0,678968.0,952700.0,223,0.92365,10.7698,0.818427,101.322,94.4864,1.76772,4303207108
43107702373.swc,1632,14406700.0,1,73,117,77,45920.0,62976.0,68640,567.152,512146.0,985249000.0,506111000000.0,49598.2,73668.1,14,0.922053,10.2479,0.844879,81.4378,74.22,1.27211,43107702373
4355741801.swc,49846,64339.8,1,3538,6179,3639,538720.0,874976.0,173976,550.225,15235900.0,27037900000.0,9935440000000.0,663468.0,916697.0,308,0.924403,6.07477,0.826588,87.9085,82.2046,1.78161,4355741801
4357931741.swc,47793,711407.0,1,3761,5557,3837,440352.0,565376.0,174042,520.424,14552400.0,24451700000.0,9471190000000.0,441713.0,948693.0,503,0.929121,5.3986,0.84398,74.0806,69.5806,1.93244,4357931741
4364472824.swc,10095,65156.6,1,754,1509,756,171040.0,194912.0,83259,400.233,3056420.0,3979100000.0,1088110000000.0,167165.0,290496.0,102,0.929707,5.66004,0.817782,100.598,95.8526,1.42923,4364472824
4375775068.swc,4651,1340090.0,1,71,143,72,162752.0,146688.0,147213,408.101,1494210.0,2102710000.0,852905000000.0,114302.0,206310.0,16,0.921525,31.5175,0.92188,107.593,96.8142,1.3948,4375775068
4386637427.swc,34472,64339.8,1,2036,956,2060,925760.0,1161410.0,174009,542.537,10624100.0,18876600000.0,6944190000000.0,709644.0,781153.0,162,0.937382,7.44561,0.844299,23.8534,22.8824,1.65469,4386637427
