Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
35906708609_reconnect.swc,17039,332946000.0,6,1380,2765,1386,254680.0,261984.0,107349,395.855,5196960.0,6860390000.0,1445690000000.0,228976.0,337156.0,196,0.93049,5.16203,0.816731,101.396,96.5523,1.59965,,35906708609
35964995425_reconnect.swc,7085,85996700.0,3,398,797,400,221250.0,180800.0,113421,423.546,2196030.0,3071190000.0,942799000000.0,160095.0,279832.0,88,0.926899,7.88833,0.818202,101.545,95.3576,1.32393,,35964995425
35978690831_reconnect.swc,23764,332662000.0,4,1817,3645,1829,379038.0,343808.0,114180,432.651,7213920.0,10141600000.0,2266590000000.0,274962.0,324431.0,165,0.933431,5.51934,0.815417,99.7056,94.1465,1.78468,,35978690831
36036685655_reconnect.swc,36150,184776000.0,3,2528,5066,2539,514750.0,574208.0,114147,566.417,11073300.0,20342100000.0,7070020000000.0,573370.0,618705.0,252,0.929606,6.13561,0.83297,100.622,94.0487,1.70235,,36036685655
3615661353_reconnect.swc,1520,92174300.0,4,47,96,50,78210.0,70240.0,49434,617.17,500466.0,1127420000.0,623087000000.0,58161.7,78349.7,15,0.92358,14.8229,0.826982,106.849,94.1465,1.14838,,3615661353
3617981810_reconnect.swc,15834,250325000.0,6,730,1465,736,779680.0,523770.0,66627,571.665,5001940.0,9462060000.0,2931180000000.0,504951.0,589762.0,133,0.927078,9.80751,0.867646,105.514,95.4586,1.45166,,3617981810
3621341492_reconnect.swc,46979,201142000.0,3,3945,7913,3969,451170.0,327778.0,161403,396.278,14067900.0,17765700000.0,3725280000000.0,295772.0,443638.0,379,0.927817,4.93681,0.858055,100.74,95.0125,1.7584,,3621341492
36242340885_reconnect.swc,59681,254286000.0,4,4735,9487,4753,591010.0,631680.0,107481,373.267,18048200.0,21336000000.0,3912740000000.0,466465.0,526221.0,338,0.928224,5.29071,0.814896,99.9551,94.4749,1.80858,,36242340885
36298948727_reconnect.swc,23560,122748000.0,2,1629,3260,1632,387840.0,324736.0,114015,518.237,7183150.0,11995200000.0,3446630000000.0,264961.0,333052.0,179,0.931142,6.22669,0.849679,100.663,94.7475,1.6256,,36298948727
36315112679_reconnect.swc,47293,87966500.0,4,3717,7452,3736,848098.0,664932.0,174207,470.599,14267900.0,21329200000.0,4696140000000.0,594555.0,738231.0,433,0.931979,5.34622,0.843191,100.447,95.2379,1.76201,,36315112679
36327435459_reconnect.swc,12285,56628700.0,6,1024,2053,1030,352510.0,353952.0,107316,611.594,3773540.0,7664530000.0,2821660000000.0,318847.0,392486.0,189,0.926979,4.98344,0.869105,104.034,97.3576,1.59779,,36327435459
36357863628_reconnect.swc,1503,128409000.0,5,183,369,187,29284.0,31520.0,38511,365.081,467202.0,649050000.0,186699000000.0,28966.1,45695.5,34,0.92589,3.07046,0.830581,104.813,99.7203,1.52562,,36357863628
3648176837_reconnect.swc,68148,612563000.0,6,5499,11027,5529,778268.0,562428.0,174306,401.659,20622800.0,26845100000.0,5814480000000.0,594059.0,694751.0,438,0.933157,5.18001,0.807677,99.9242,94.8029,1.87365,,3648176837
36738877941_reconnect.swc,2076,108626000.0,6,49,102,54,64350.0,119968.0,58047,455.633,689988.0,1237310000.0,507137000000.0,75571.0,85413.0,10,0.925161,19.3431,0.863505,105.037,91.677,1.2345,,36738877941
