Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
10726202405.swc,2222,12868.0,1,272,500,282,18624.0,33472.0,35079,524.618,657085.0,1236020000.0,873230000000.0,28736.5,82808.5,39,0.937835,3.19,0.931767,94.3396,89.852,1.67327,10726202405
1288378363.swc,4474,51471.9,1,77,149,79,137952.0,151616.0,50886,490.288,1419440.0,2250040000.0,1017810000000.0,101120.0,297574.0,29,0.939221,28.2886,0.937,104.523,100.744,1.29322,1288378363
13046505828.swc,24270,78024.6,1,1706,3334,1718,259296.0,220992.0,148929,516.139,7362710.0,12510500000.0,5506900000000.0,225539.0,448013.0,164,0.92435,6.09148,0.855878,99.6502,93.5063,1.57779,13046505828
1463225736.swc,10615,180968.0,1,237,471,244,214272.0,313120.0,55209,368.851,3355710.0,4052280000.0,1355100000000.0,192333.0,366643.0,41,0.906708,21.0149,0.83654,105.554,97.545,1.48939,1463225736
14768255169.swc,12625,115812.0,1,503,934,516,889312.0,621632.0,151734,566.317,3947870.0,7162300000.0,2033970000000.0,757524.0,999035.0,148,0.923246,11.8565,0.826216,95.116,87.2935,1.57479,14768255169
1756135282.swc,48967,64339.8,1,3567,6541,3600,559584.0,581984.0,174504,493.858,14953500.0,23651900000.0,7569210000000.0,415901.0,576659.0,331,0.929842,5.84253,0.818214,91.6102,86.6052,1.93343,1756135282
1787105373.swc,6392,106211.0,1,102,13,106,125248.0,200512.0,52107,417.457,2055870.0,2737240000.0,993031000000.0,179430.0,74005.9,7,0.916366,19.6154,0.960505,6.43419,6.73708,1.32281,1787105373
1828280059.swc,4585,65156.6,1,150,301,154,213280.0,256352.0,54615,568.798,1453790.0,2848800000.0,1604240000000.0,294758.0,355423.0,58,0.924812,13.8738,0.872008,99.8969,96.7337,1.33084,1828280059
1960945141.swc,67280,875826.0,1,6010,11827,6066,358208.0,471392.0,163779,356.93,20016000.0,22504700000.0,4658810000000.0,413723.0,626151.0,673,0.932325,4.57462,0.834938,97.7584,92.7089,1.89622,1960945141
1989532299.swc,87955,129496.0,1,6856,398,6939,1018140.0,765984.0,173943,479.043,26519500.0,40696800000.0,12359200000000.0,690190.0,146874.0,137,0.929209,4.48744,0.863202,2.90713,2.80894,1.98199,1989532299
2065122584.swc,1749,115812.0,1,86,1,97,43040.0,84544.0,49137,575.532,541692.0,1092110000.0,740137000000.0,61098.0,2241.84,1,0.941608,6.0,1.82622,0.0,0.0,1.18567,2065122584
2103144214.swc,57465,78024.6,1,4727,8932,4781,567648.0,550016.0,173613,454.857,17247800.0,24851200000.0,7950280000000.0,400655.0,622338.0,453,0.933459,5.06729,0.853097,95.3423,90.2359,1.98267,2103144214
2163767334.swc,42609,102944.0,1,3307,6231,3347,746368.0,715456.0,174438,469.332,12873500.0,19211100000.0,5510180000000.0,542936.0,772329.0,493,0.930987,5.45739,0.837419,94.6101,89.22,1.91061,2163767334
21940807057.swc,11603,51471.9,1,622,1131,635,310336.0,418976.0,143517,613.189,3615100.0,7407100000.0,4060540000000.0,340595.0,442317.0,85,0.924277,8.71264,0.850997,91.6371,86.7269,1.56952,21940807057
