Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
29824062527.swc,37399,78024.6,1,3136,6286,3158,495232.0,602464.0,108801,424.689,11208300.0,15225600000.0,3969360000000.0,309136.0,439697.0,303,0.932013,4.94337,0.833855,99.5195,94.9716,1.84604,29824062527
29865529470.swc,5861,25735.9,1,76,153,78,212800.0,267328.0,124047,437.577,1873550.0,2636070000.0,868079000000.0,336816.0,446274.0,25,0.924081,37.2745,0.86795,111.542,99.5493,1.19847,29865529470
29893213128.swc,34423,39420.7,1,1901,3799,1912,1466940.0,1017500.0,117216,375.882,10545000.0,13045900000.0,4018980000000.0,1449080.0,1831930.0,229,0.928029,8.03027,0.825616,101.193,94.6647,1.82298,29893213128
29905580774.swc,22580,65156.6,1,955,1858,962,526624.0,404064.0,121704,605.611,7054940.0,14255200000.0,7434860000000.0,505593.0,715426.0,154,0.926259,10.9612,0.816962,99.0504,90.7952,1.51629,29905580774
29907798751.swc,15204,78024.6,1,698,1399,703,691040.0,733664.0,115203,421.982,4732610.0,6433840000.0,1914250000000.0,872929.0,1045740.0,244,0.926441,9.82845,0.79862,100.367,93.6233,1.66717,29907798751
29977928519.swc,12692,67607.1,1,390,780,394,502560.0,600064.0,114939,522.822,3995100.0,6780720000.0,2108090000000.0,589884.0,702102.0,76,0.926575,15.1487,0.823034,104.475,93.5404,1.52984,29977928519
29977928563.swc,12763,26552.7,1,391,780,394,488288.0,662560.0,114741,581.806,4011120.0,7646380000.0,3157120000000.0,434950.0,676250.0,72,0.927746,15.3474,0.838698,107.081,95.1205,1.39763,29977928563
30021118298.swc,15449,85027700.0,1,514,1029,520,521888.0,761152.0,115071,584.232,4844440.0,9228170000.0,4246650000000.0,578504.0,632012.0,73,0.93143,13.9903,0.823341,101.968,91.5345,1.46167,30021118298
3006360875.swc,40288,119079.0,1,3072,6130,3094,482752.0,694816.0,172359,494.627,12174800.0,19351000000.0,5916590000000.0,555040.0,721878.0,285,0.925066,5.53817,0.820244,100.534,94.9051,1.69377,3006360875
3006535717.swc,13311,102944.0,1,776,1538,780,520288.0,758816.0,145431,502.851,4087660.0,6681780000.0,2270630000000.0,639110.0,815203.0,321,0.924824,7.55982,0.848237,99.5416,93.509,1.45047,3006535717
30067914369.swc,18129,119079.0,1,1061,2125,1066,381600.0,465408.0,115335,451.502,5587400.0,8189320000.0,2627560000000.0,329100.0,400310.0,125,0.925279,7.52094,0.822168,100.472,95.4796,1.67717,30067914369
30182897605.swc,16207,107959000.0,1,391,784,394,504544.0,397984.0,115335,540.688,5116800.0,9069350000.0,3676150000000.0,375460.0,563542.0,41,0.926934,19.6633,0.826508,101.728,91.9265,1.63249,30182897605
30217253713.swc,20444,25735.9,1,1148,2300,1154,342880.0,439712.0,108834,325.752,6240820.0,6498850000.0,1511110000000.0,362350.0,604089.0,166,0.929906,7.88087,0.828629,101.606,94.8207,1.52497,30217253713
30227663557.swc,15765,116628.0,1,948,1900,954,584384.0,553792.0,121902,450.608,4822210.0,7112750000.0,2005250000000.0,376877.0,616134.0,239,0.92368,7.27842,0.8333,101.169,95.3604,1.62587,30227663557
30231474338.swc,33965,116628.0,1,2641,5289,2651,419936.0,584576.0,119229,401.498,10184400.0,13095000000.0,3125180000000.0,484924.0,637555.0,327,0.931729,5.39818,0.831136,101.443,96.1168,1.81563,30231474338
30406000355.swc,5970,106211.0,1,90,181,91,292640.0,219840.0,104511,619.177,1919120.0,3876460000.0,1812480000000.0,216279.0,286162.0,29,0.936095,31.9779,0.940535,109.56,100.355,1.36856,30406000355
30532897819.swc,3995,798631.0,1,156,313,157,248160.0,179104.0,115269,508.942,1248640.0,2120350000.0,1148430000000.0,169545.0,285616.0,73,0.923734,11.7604,0.830461,103.584,96.588,1.3033,30532897819
30580832829.swc,65082,25735.9,1,5546,11116,5590,578272.0,501280.0,115962,392.897,19484800.0,24348800000.0,6870480000000.0,467957.0,657737.0,529,0.933765,4.84563,0.820797,99.7543,95.0238,1.861,30580832829
30590190813.swc,12804,64339.8,1,328,657,329,492864.0,420480.0,123981,563.606,4039710.0,7433200000.0,3840660000000.0,364758.0,671439.0,57,0.91762,18.4871,0.845457,106.416,96.7664,1.55313,30590190813
30635995514.swc,20031,39420.7,1,1181,2365,1185,575616.0,531136.0,115797,445.123,6127350.0,8758320000.0,2186220000000.0,400763.0,572504.0,225,0.930051,7.46723,0.832494,99.8736,95.2307,1.67301,30635995514
30663006447.swc,10360,129496.0,1,276,547,279,449728.0,476448.0,122001,653.902,3277010.0,6957350000.0,3203190000000.0,386005.0,875669.0,63,0.920079,17.8282,0.855271,100.781,87.2114,1.32162,30663006447
30683084458.swc,3762,51471.9,1,78,145,80,273312.0,241408.0,69300,482.44,1193630.0,1852070000.0,503569000000.0,268367.0,532604.0,28,0.927617,24.5103,0.955122,91.4677,93.4941,1.29295,30683084458
30800023543.swc,16192,116628.0,1,1080,2160,1087,266368.0,438560.0,86196,423.306,4924200.0,6811470000.0,2795900000000.0,287972.0,500883.0,196,0.929714,6.48796,0.825833,99.931,94.325,1.46934,30800023543
30871567933.swc,8536,26552.7,1,135,271,136,298240.0,459008.0,104643,406.316,2711880.0,3617610000.0,1085740000000.0,340084.0,477253.0,25,0.915827,30.4945,0.876756,104.6,94.2436,1.31397,30871567933
30953801389.swc,23766,12868.0,1,687,1376,699,686400.0,784224.0,117216,587.71,7490480.0,14239100000.0,7651340000000.0,819916.0,979872.0,156,0.921911,16.2267,0.850911,103.578,94.1259,1.54715,30953801389
30997632884.swc,10111,115812.0,1,443,885,447,497216.0,527360.0,118701,595.65,3153060.0,6124710000.0,2597320000000.0,524390.0,679911.0,122,0.930551,10.3966,0.808761,99.8267,92.8821,1.50342,30997632884
31032965594.swc,34364,12868.0,1,2708,5415,2733,864640.0,484576.0,87615,448.344,10328600.0,14979900000.0,6377540000000.0,647650.0,1013970.0,372,0.931205,5.32835,0.846897,99.7341,93.3822,1.82051,31032965594
31041960800.swc,10838,25735.9,1,401,803,403,491840.0,413632.0,119559,558.417,3402050.0,6134180000.0,3180760000000.0,347461.0,565436.0,92,0.926399,12.4844,0.794847,102.189,95.0318,1.36422,31041960800
31043610690.swc,13913,5083660.0,1,721,1443,722,490016.0,443776.0,115830,511.453,4290930.0,7134060000.0,2381770000000.0,350091.0,430736.0,139,0.92551,8.64103,0.840163,100.351,95.0677,1.60285,31043610690
31045406337.swc,18188,106211.0,1,931,1864,936,788192.0,784000.0,123981,420.67,5607050.0,7557320000.0,2130530000000.0,1063690.0,1281390.0,367,0.927509,8.74839,0.808568,99.935,94.1887,1.63261,31045406337
3106656265.swc,4990,39420.7,1,297,596,299,262912.0,170816.0,55506,501.845,1531960.0,2439980000.0,551691000000.0,188240.0,336696.0,128,0.926612,7.37081,0.836473,101.858,95.397,1.39612,3106656265
31083559920.swc,17000,26552.7,1,1001,1977,1006,389120.0,443136.0,116424,675.098,5249160.0,11815400000.0,6976700000000.0,369108.0,574432.0,170,0.920711,7.54527,0.855071,100.507,93.0114,1.61344,31083559920
31204221755.swc,15302,102944.0,1,812,1629,818,448384.0,494624.0,119526,474.509,4724180.0,7407320000.0,2569730000000.0,289406.0,430336.0,109,0.929556,8.36096,0.829044,101.788,96.1263,1.59392,31204221755
31219113935.swc,9977,102944.0,1,535,1068,542,684352.0,501408.0,124113,476.282,3080890.0,4738650000.0,1521580000000.0,571296.0,750545.0,220,0.928458,8.26685,0.807321,102.225,95.7406,1.38453,31219113935
31221905161.swc,40120,39420.7,1,3301,6545,3326,411200.0,454880.0,108834,457.96,12052800.0,17543200000.0,4847400000000.0,472883.0,707688.0,468,0.93269,5.06096,0.844405,98.8658,94.2187,1.89047,31221905161
3125752905.swc,30132,51471.9,1,2415,4816,2430,575744.0,457952.0,174339,431.744,9045350.0,12488000000.0,3927930000000.0,359921.0,550590.0,412,0.935746,5.21304,0.842673,100.18,95.4036,1.64903,3125752905
31305290147.swc,10904,12225400.0,1,253,507,254,316032.0,420224.0,121968,534.515,3453440.0,6054060000.0,2112820000000.0,250468.0,318757.0,30,0.932988,20.5049,0.823319,103.417,91.818,1.35703,31305290147
31332404279.swc,9255,26552.7,1,356,714,359,380160.0,413632.0,121935,622.911,2915000.0,5900900000.0,2505460000000.0,311677.0,506526.0,71,0.924921,11.9496,0.813915,101.866,93.2963,1.51569,31332404279
31379039486.swc,25820,39420.7,1,1689,3379,1694,701312.0,847456.0,119559,393.771,7830850.0,9758170000.0,2094840000000.0,723833.0,1243620.0,572,0.934683,6.63125,0.825485,100.213,94.9419,1.54264,31379039486
3139317430.swc,28483,78024.6,1,2179,4366,2205,407520.0,445280.0,78606,463.184,8603500.0,12872500000.0,5328300000000.0,363535.0,578921.0,352,0.931054,5.50275,0.839059,101.126,94.2431,1.82201,3139317430
31393626802.swc,14605,78024.6,1,308,613,311,424704.0,304992.0,114675,463.262,4614480.0,6887770000.0,2031710000000.0,503405.0,715647.0,65,0.920346,22.3556,0.878827,105.282,95.6375,1.4103,31393626802
31423325105.swc,39893,119079.0,1,2766,5533,2779,825760.0,822336.0,114906,425.041,12059900.0,16557700000.0,4670000000000.0,704651.0,855620.0,459,0.93153,6.20441,0.839027,100.182,94.7047,1.88863,31423325105
31552484362.swc,10437,106211.0,1,289,581,292,652928.0,571936.0,121902,616.114,3295970.0,6525320000.0,2197990000000.0,702153.0,832528.0,97,0.928618,16.9621,0.844657,101.467,90.5131,1.32885,31552484362
3165571405.swc,15582,119079.0,1,1144,2287,1152,579456.0,541280.0,174570,470.495,4713740.0,7107330000.0,1551910000000.0,719305.0,938582.0,290,0.925363,5.75995,0.84692,102.024,94.8774,1.63378,3165571405
3166899595.swc,4189,1731660.0,1,81,163,82,212608.0,165984.0,85470,563.217,1338630.0,2501360000.0,1219940000000.0,203939.0,286648.0,27,0.918511,24.6933,0.926938,103.565,99.6539,1.39212,3166899595
31772595137.swc,14901,64339.8,1,433,866,439,585696.0,411616.0,115302,461.601,4678900.0,6940760000.0,1879580000000.0,415821.0,684712.0,97,0.928341,16.1628,0.828854,101.609,94.2039,1.64523,31772595137
3182566271.swc,27078,64339.8,1,2091,4195,2106,380352.0,576512.0,174207,388.302,8153750.0,10252600000.0,2632040000000.0,346288.0,475653.0,267,0.931136,5.45077,0.800733,100.261,96.1554,1.78868,3182566271
31877913765.swc,24339,106211.0,1,1357,2716,1362,752480.0,924896.0,119229,455.72,7476640.0,10870700000.0,2822120000000.0,837154.0,977956.0,248,0.926244,7.95582,0.810258,102.178,94.3427,1.56326,31877913765
31891652343.swc,2189,167284.0,1,55,109,57,81632.0,98560.0,71181,601.917,697809.0,1382190000.0,793215000000.0,71955.0,126030.0,20,0.925549,18.9266,0.868165,95.9033,84.8706,1.14273,31891652343
3195736904.swc,16030,102944.0,1,845,1676,856,432896.0,601792.0,174504,487.326,4919900.0,7615750000.0,2435510000000.0,541380.0,993652.0,275,0.923716,8.45286,0.850909,101.394,95.9904,1.59704,3195736904
32037239241.swc,33587,67607.1,1,2744,5504,2776,382880.0,439872.0,101970,378.218,10056700.0,12258100000.0,3396080000000.0,376697.0,558573.0,440,0.931882,5.09211,0.833546,100.478,94.631,1.8581,32037239241
32093042991.swc,27483,64339.8,1,1634,3270,1637,804224.0,466880.0,119559,410.63,8390220.0,11082800000.0,2588550000000.0,511853.0,623922.0,271,0.919701,7.39694,0.842519,101.278,95.2273,1.60923,32093042991
32132422029.swc,5761,54739.1,1,224,449,227,204768.0,240288.0,118668,537.908,1794710.0,3180540000.0,1295260000000.0,220731.0,314996.0,46,0.927873,11.7951,0.837465,105.658,97.9209,1.2741,32132422029
32137312910.swc,11551,64339.8,1,300,598,306,391840.0,217856.0,119559,541.172,3634400.0,6364240000.0,2341660000000.0,396819.0,853020.0,56,0.916155,18.2274,0.919871,102.44,93.449,1.38837,32137312910
