Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
32528431437_sort.swc,6635,110962000.0,4,230,463,234,490660,314910,117909,586.745,2095590,3993730000,1025010000000.0,471281.0,550885.0,58,0.925813,13.3283,0.811185,101.611,87.8007,1.42751,32528431437
3253920795_sort.swc,11289,100847000.0,4,607,1218,612,471360,487420,74184,504.683,3487120,5885090000,1905780000000.0,409843.0,477196.0,161,0.926184,8.26765,0.855981,101.042,94.4608,1.52582,3253920795
32587549631_sort.swc,5449,120804000.0,7,176,357,182,449080,503292,118833,631.737,1753060,3927150000,1585300000000.0,596280.0,658413.0,71,0.929734,14.2605,0.825912,108.792,96.4564,1.20243,32587549631
32587593141_sort.swc,17437,171849000.0,3,848,1697,850,619290,476640,121803,433.017,5390550,7514250000,1376920000000.0,583356.0,679151.0,188,0.926911,9.2746,0.83999,100.42,94.2352,1.44484,32587593141
32618139634_sort.swc,26329,189458000.0,4,1514,3032,1519,447750,490690,115302,470.571,8124750,12530900000,3664110000000.0,364352.0,470163.0,123,0.925461,7.68338,0.806346,103.666,95.4199,1.76713,32618139634
32645735288_sort.swc,26604,220248000.0,7,1668,3346,1679,696450,529310,121770,403.852,8151910,11036900000,2808650000000.0,537849.0,622681.0,267,0.927093,6.95069,0.833454,101.268,95.2872,1.74755,32645735288
32647399673_sort.swc,13681,131055000.0,4,743,1489,747,535490,342920,119262,448.786,4217250,6256180000,1444460000000.0,390206.0,464183.0,139,0.9254,8.18737,0.838518,100.511,93.4786,1.44412,32647399673
32675754551_sort.swc,22232,174777000.0,4,1479,2968,1490,639390,432230,119691,401.421,6755190,8874850000,1781800000000.0,506364.0,598902.0,268,0.928411,6.49023,0.832771,102.04,95.7924,1.74863,32675754551
3268507187_sort.swc,4747,308369000.0,4,260,522,263,265440,281060,73788,627.341,1509170,3437510000,1378530000000.0,239574.0,278905.0,73,0.921952,8.09195,0.822623,104.299,97.6417,1.39923,3268507187
32719148550_sort.swc,19981,97211600.0,4,1246,2495,1250,508250,578720,119592,429.932,6099400,8521840000,1617490000000.0,310280.0,376016.0,109,0.932253,7.00802,0.834562,101.554,95.7409,1.66986,32719148550
32719908788_sort.swc,36954,165009000.0,6,2432,4876,2445,648550,541370,119592,466.294,11293200,17294000000,4505520000000.0,386038.0,481308.0,156,0.927304,6.57855,0.839167,101.25,95.0375,1.83258,32719908788
32733647814_sort.swc,22805,204465000.0,6,1041,2090,1050,787040,526940,122001,479.811,7099620,11321100000,3047550000000.0,512888.0,601353.0,139,0.925313,9.911,0.834791,101.255,91.752,1.68768,32733647814
