Feature,Level,Mean,Std,Min,Max,Median
Stems,2level,4.757931472081219,1.7789899852346576,1.0,18.0,5.0
SomaSurface,2level,194.3715299216371,144.87146509444617,0.012868,2394.39,157.284
Length,2level,7022.109775444162,6401.448551036129,79.5132,36327.8,4927.35
OverallDepth,2level,116.13361675126905,46.60718089511365,5.61,174.57,115.434
OverallHeight,2level,405.61942506345184,227.69660958475478,21.216,1437.44,381.999
OverallWidth,2level,438.2627213197969,288.19667957898656,16.8701,1860.16,382.18
Volume,2level,3191.536176808376,2766.3881323823416,62.2069,30172.1,2381.3999999999996
HausdorffDimension,2level,1.2445213213832487,0.09927892530921156,0.945837,1.56022,1.24362
AverageBifurcationAngleLocal,2level,102.54772741116751,3.0645582154286237,92.3631,146.258,101.609
AverageDiameter,2level,0.49847478616751273,0.1224069286858134,0.229551,1.60377,0.4741305
AverageBifurcationAngleRemote,2level,94.53354206852792,2.998253355396896,73.9407,133.93,94.83144999999999
