Neuron,Radius_0,Radius_20,Radius_40,Radius_60,Radius_80,Radius_100,Radius_120,Radius_140,Radius_160,Radius_180,Radius_200,Radius_220,Radius_240,Radius_260,Radius_280,Radius_300,Radius_320,Radius_340,Radius_360,Radius_380,Radius_400,Radius_420,Radius_440,Radius_460,Radius_480,Radius_500,Radius_520,Radius_540,Radius_560,Radius_580,Radius_600,Radius_620,Radius_640,Radius_660,Radius_680,Radius_700,Radius_720,Radius_740,Radius_760,Radius_780,Radius_800,Radius_820,Radius_840,Radius_860,Radius_880,Radius_900,Radius_920,Radius_940,Radius_960,Radius_980,Radius_1000,Radius_1020,Radius_1040,Radius_1060,Radius_1080,Radius_1100,Radius_1120,Radius_1140,Radius_1160,Radius_1180,Radius_1200,Radius_1220,Radius_1240,Radius_1260,Radius_1280,Radius_1300,Radius_1320,Radius_1340,Radius_1360,Radius_1380,Radius_1400,Radius_1420,Radius_1440,Radius_1460,Radius_1480,Radius_1500,Radius_1520,Radius_1540,Radius_1560,Radius_1580,Radius_1600,Radius_1620,Radius_1640,Radius_1660,Radius_1680,Radius_1700,Radius_1720,Radius_1740,Radius_1760,Radius_1780,Radius_1800,Radius_1820,Radius_1840
37753178551_sort.swc,237.0,604.0,1097.0,927.0,454.0,302.0,79.0,69.0,73.0,79.0,73.0,90.0,81.0,76.0,76.0,66.0,67.0,67.0,67.0,68.0,66.0,70.0,150.0,219.0,67.0,91.0,67.0,75.0,186.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840864894_sort.swc,212.0,785.0,874.0,531.0,389.0,462.0,198.0,187.0,223.0,200.0,80.0,321.0,347.0,370.0,307.0,265.0,201.0,179.0,93.0,99.0,96.0,94.0,114.0,104.0,103.0,117.0,107.0,110.0,88.0,126.0,96.0,86.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3892788901_sort.swc,159.0,849.0,1450.0,1619.0,1314.0,1266.0,1246.0,894.0,875.0,1144.0,523.0,331.0,318.0,209.0,305.0,308.0,372.0,427.0,409.0,157.0,171.0,196.0,148.0,67.0,102.0,77.0,80.0,76.0,67.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38086899346_sort.swc,242.0,833.0,1721.0,1822.0,1112.0,741.0,704.0,826.0,318.0,121.0,137.0,157.0,151.0,121.0,103.0,100.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3019458224_sort.swc,233.0,918.0,1561.0,1375.0,1393.0,1008.0,1065.0,1347.0,1024.0,645.0,520.0,687.0,348.0,114.0,95.0,131.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3805984825_sort.swc,321.0,1194.0,1821.0,2550.0,2159.0,1443.0,1063.0,783.0,557.0,382.0,296.0,337.0,484.0,550.0,546.0,425.0,501.0,419.0,237.0,449.0,227.0,213.0,259.0,189.0,68.0,72.0,80.0,68.0,79.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31229350874_sort.swc,526.0,991.0,1213.0,1601.0,1429.0,954.0,669.0,741.0,532.0,444.0,374.0,109.0,187.0,195.0,84.0,144.0,281.0,232.0,132.0,67.0,86.0,91.0,178.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32137532273_sort.swc,373.0,1456.0,2778.0,2708.0,2636.0,1771.0,1584.0,1213.0,1297.0,1264.0,872.0,520.0,522.0,705.0,152.0,283.0,371.0,92.0,117.0,130.0,143.0,141.0,107.0,85.0,103.0,120.0,75.0,67.0,111.0,100.0,81.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3690081781_sort.swc,486.0,1127.0,1920.0,1361.0,1597.0,1239.0,1012.0,855.0,643.0,520.0,416.0,307.0,211.0,243.0,221.0,301.0,270.0,222.0,204.0,271.0,191.0,191.0,187.0,107.0,86.0,82.0,101.0,85.0,83.0,82.0,73.0,74.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37420830243_sort.swc,208.0,737.0,2139.0,2473.0,2594.0,1732.0,1281.0,1256.0,1075.0,644.0,754.0,415.0,401.0,267.0,193.0,160.0,298.0,288.0,210.0,198.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
