Feature,Level,Mean,Std,Min,Max,Median
Stems,3level,4.737109658678286,1.8694853415804051,1.0,21.0,4.0
SomaSurface,3level,172.00801743718227,133.44807699257032,0.13603,1089.53,137.933
Length,3level,7303.0481546840965,6716.429632204634,113.74,47863.4,5257.165
OverallDepth,3level,124.36794117647058,49.588187005151376,4.389,174.603,121.836
OverallHeight,3level,394.23681092955707,227.52808890096549,10.112,1253.57,367.696
OverallWidth,3level,417.29947345679017,270.6952874792043,16.1599,1864.13,372.317
Volume,3level,3253.692970878721,2764.2468359666154,63.4819,28190.2,2447.36
HausdorffDimension,3level,1.257457850036311,0.10236504259262098,0.997986,1.79483,1.2562
AverageBifurcationAngleLocal,3level,102.65998151779229,3.1031822859176135,85.6711,134.094,101.7615
AverageDiameter,3level,0.5042316089324619,0.13151490498217303,0.231929,2.22406,0.4768465
AverageBifurcationAngleRemote,3level,95.081063761801,2.6924370295821114,74.4005,117.767,95.0791
