Layer,Boundary,Soma_X,Soma_Y
layer_2,right,2.6759213964085578,0.450592
layer_2,left,2.0767939647942737,0.450784
layer_2,right,2.6759883794190102,0.450784
layer_2,left,2.0767909142498313,0.450816
layer_2,right,2.675999276770725,0.450816
layer_2,left,2.0767817466956986,0.450944
layer_2,right,2.6760320110117144,0.450944
layer_2,left,2.0767596892856486,0.451488
layer_2,right,2.676125330506898,0.451488
layer_2,left,2.076746293929347,0.451712
layer_2,right,2.6761796700740574,0.451712
layer_2,left,2.0767402227121696,0.45232
layer_2,right,2.67626779167577,0.45232
layer_2,left,2.076730945248814,0.452512
layer_2,right,2.6763119034610576,0.452512
layer_2,left,2.0767284149002654,0.452672
layer_2,right,2.676340313694969,0.452672
layer_2,left,2.0767246266666946,0.452896
layer_2,right,2.6763810190584194,0.452896
layer_2,left,2.076732031676768,0.452992
layer_2,right,2.6763883446698316,0.452992
layer_2,left,2.0767610056771164,0.453632
layer_2,right,2.676481743829274,0.453632
layer_2,left,2.0768027088308387,0.453952
layer_2,right,2.6765263484741313,0.453952
layer_2,left,2.0768530376435557,0.454496
layer_2,right,2.676628587082795,0.454496
layer_2,left,2.0768772220390264,0.454752
layer_2,right,2.676680161342329,0.454752
layer_2,left,2.0769038238592974,0.45504
layer_2,right,2.6767392588841106,0.45504
layer_2,left,2.0769106030167275,0.455072
layer_2,right,2.6767465173215514,0.455072
layer_2,left,2.076945079418607,0.455328
layer_2,right,2.6768023411361175,0.455328
layer_2,left,2.077075115562617,0.455936
layer_2,right,2.676959732585861,0.455936
layer_2,left,2.07707852091072,0.456192
layer_2,right,2.6770039728335333,0.456192
layer_2,left,2.0770798068338157,0.456288
layer_2,right,2.677019494031313,0.456288
layer_2,left,2.0770810987025294,0.456384
layer_2,right,2.6770344271066513,0.456384
layer_2,left,2.077081530765873,0.456416
layer_2,right,2.677039273731352,0.456416
layer_2,left,2.0770981131537543,0.456608
layer_2,right,2.677075110877641,0.456608
layer_2,left,2.0771079753519786,0.45664
layer_2,right,2.677085139493016,0.45664
layer_2,left,2.077118513075497,0.456704
layer_2,right,2.677099804344679,0.456704
layer_2,left,2.077168113987204,0.456992
layer_2,right,2.6771666454925636,0.456992
layer_2,left,2.077265751502979,0.457376
layer_2,right,2.677276792435429,0.457376
layer_2,left,2.077406342845675,0.457888
layer_2,right,2.677432695671155,0.457888
layer_2,left,2.0774152826942918,0.457952
layer_2,right,2.677445179491021,0.457952
layer_2,left,2.07742214614678,0.45808
layer_2,right,2.677460538154919,0.45808
layer_2,left,2.077427318246289,0.458176
layer_2,right,2.677471404955019,0.458176
layer_2,left,2.0774307784030888,0.45824
layer_2,right,2.677478338305454,0.45824
layer_2,left,2.0774883625012963,0.458432
layer_2,right,2.6775386708262316,0.458432
layer_2,left,2.077514013597494,0.45856
layer_2,right,2.677567504405875,0.45856
layer_2,left,2.077570532873068,0.458688
layer_2,right,2.6776235747026056,0.458688
layer_2,left,2.0775837246950295,0.45888
layer_2,right,2.677642481126391,0.45888
layer_2,left,2.077877494592818,0.460448
layer_2,right,2.677911494746545,0.460448
layer_2,left,2.077951189206709,0.460608
layer_2,right,2.677980064567348,0.460608
layer_2,left,2.0779762855175403,0.460864
layer_2,right,2.677989342875655,0.460864
layer_2,left,2.0782960921659273,0.462112
layer_2,right,2.6782179917034905,0.462112
layer_2,left,2.078533167619017,0.462816
layer_2,right,2.6783942558919187,0.462816
layer_2,left,2.0786635229024797,0.46304
layer_2,right,2.67851102566249,0.46304
layer_2,left,2.078921106200586,0.463456
layer_2,right,2.6787433809955314,0.463456
layer_2,left,2.07906379133107,0.463744
layer_2,right,2.6788618393222086,0.463744
layer_2,left,2.079138200727858,0.46384
layer_2,right,2.678931554193483,0.46384
layer_2,left,2.079203746972596,0.463936
layer_2,right,2.678990988150016,0.463936
layer_2,left,2.079230755416041,0.464032
layer_2,right,2.679006452057999,0.464032
layer_2,left,2.0792480534659594,0.464128
layer_2,right,2.679010759351066,0.464128
layer_2,left,2.079474312584094,0.46448
layer_2,right,2.6792100464092066,0.46448
layer_2,left,2.0795322416372612,0.464672
layer_2,right,2.6792438116896373,0.464672
layer_2,left,2.0796133070078966,0.464768
layer_2,right,2.6793192743526326,0.464768
layer_2,left,2.079636617635997,0.464832
layer_2,right,2.679334850191796,0.464832
layer_2,left,2.0798294286236487,0.465152
layer_2,right,2.6794975349085868,0.465152
layer_2,left,2.080115397687647,0.465472
layer_2,right,2.6797620629316503,0.465472
layer_2,left,2.0802552398360037,0.465696
layer_2,right,2.6798785900070725,0.465696
layer_2,left,2.0803300881716793,0.465824
layer_2,right,2.679939193484057,0.465824
layer_2,left,2.080482278374138,0.46608
layer_2,right,2.680062411330912,0.46608
layer_2,left,2.0806982176194584,0.466304
layer_2,right,2.6802599605180815,0.466304
layer_2,left,2.0810001202313835,0.466784
layer_2,right,2.6805041017995572,0.466784
layer_2,left,2.0810972715642975,0.46688
layer_2,right,2.6805922585193307,0.46688
layer_2,left,2.081424206051452,0.467232
layer_2,right,2.6808817566368903,0.467232
layer_2,left,2.081486174207648,0.46736
layer_2,right,2.6809254266033506,0.46736
layer_2,left,2.0820618807991758,0.468032
layer_2,right,2.6814177488978492,0.468032
layer_2,left,2.0822740718545174,0.468224
layer_2,right,2.681607093954108,0.468224
