Filename,Soma_X,Soma_Y,Soma_Z,LCC_Node_Proportion,C3 agglomeration id,Cell type,Cell body layer, E count all inputs, I count all inputs, E count layer 1, I count layer 1, E count layer 2, I count layer 2, E count layer 3, I count layer 3, E count layer 4, I count layer 4, E count layer 5, I count layer 5, E count layer 6, I count layer 6, E count white matter, I count white matter,Soma_x,Soma_y,Soma_z,new_label
45078033971,2645980.0,401056.0,138831.0,,45078033971,interneuron,layer_1,191,183,64,70,127,113,0,0,0,0,0,0,0,0,0,0,,,,layer_1
5028657682,1943680.0,1698530.0,14619.0,,5028657682,unclassified neuron,layer_5,1711,491,0,0,0,0,0,0,0,0,1448,448,263,43,0,0,,,,layer_5
36562205120,2539330.0,476736.0,122925.0,,36562205120,pyramidal neuron,layer_2,369,166,25,12,344,154,0,0,0,0,0,0,0,0,0,0,,,,layer_2
7716439566,2620130.0,434368.0,57222.0,,7716439566,pyramidal neuron,white_matter,87,70,0,0,0,0,0,0,0,0,0,0,0,0,87,70,,,,layer_2
31373727125,1141340.0,1488450.0,92136.0,,31373727125,pyramidal neuron,layer_6,2566,957,0,0,0,0,0,0,25,7,327,101,1722,740,492,109,,,,layer_6
36561913681,3055680.0,843008.0,69333.0,,36561913681,interneuron,layer_2,242,192,0,0,242,192,0,0,0,0,0,0,0,0,0,0,,,,layer_2
28133223054,2629860.0,713856.0,104214.0,,28133223054,pyramidal neuron,layer_2,2952,1295,254,157,2430,1071,268,67,0,0,0,0,0,0,0,0,,,,layer_2
35877111879,2436700.0,387808.0,124872.0,,35877111879,pyramidal neuron,layer_2,111,76,0,0,111,76,0,0,0,0,0,0,0,0,0,0,,,,layer_2
3730906189,1447520.0,1267580.0,65472.0,,3730906189,pyramidal neuron,layer_5,1271,629,0,0,0,0,33,19,52,17,1038,552,148,41,0,0,,,,layer_5
4823164389,1523940.0,1464990.0,156882.0,,4823164389,pyramidal neuron,layer_6,1838,564,0,0,0,0,0,0,0,0,1048,246,790,318,0,0,,,,layer_6
662914665,2312320.0,432704.0,1650.0,,662914665,pyramidal neuron,layer_2,1,12,0,0,1,12,0,0,0,0,0,0,0,0,0,0,,,,layer_2
41118782646,2582460.0,1734590.0,172590.0,,41118782646,unclassified neuron,layer_4,328,109,0,0,0,0,35,19,293,90,0,0,0,0,0,0,,,,layer_4
29314693439,3099390.0,932000.0,64119.0,,29314693439,interneuron,layer_2,26,38,0,0,26,38,0,0,0,0,0,0,0,0,0,0,,,,layer_2
4069065206,2196290.0,1291650.0,27753.0,,4069065206,pyramidal neuron,layer_4,538,175,0,0,0,0,54,14,439,154,45,7,0,0,0,0,,,,layer_4
55766359917,2838370.0,1428740.0,75537.0,,55766359917,interneuron,layer_1,201,129,201,129,0,0,0,0,0,0,0,0,0,0,0,0,,,,layer_3
5898892521,1262910.0,1638300.0,106590.0,,5898892521,pyramidal neuron,layer_6,604,347,0,0,0,0,0,0,0,0,9,9,336,159,259,179,,,,layer_6
40188524247,2929410.0,1460510.0,68805.0,,40188524247,interneuron,layer_3,1020,513,0,0,77,28,943,485,0,0,0,0,0,0,0,0,,,,layer_3
77820483424,3446270.0,1990620.0,132825.0,,77820483424,interneuron,layer_2,92,65,0,0,92,65,0,0,0,0,0,0,0,0,0,0,,,,layer_2
78311369070,2521660.0,2140160.0,142626.0,,78311369070,pyramidal neuron,layer_5,198,94,0,0,0,0,0,0,14,4,184,90,0,0,0,0,,,,layer_5
4591811376,1558110.0,1656350.0,54186.0,,4591811376,pyramidal neuron,layer_6,4285,1167,0,0,14,2,206,55,146,45,1289,243,2533,800,97,22,,,,layer_6
38278245611,2202050.0,1010980.0,83061.0,,38278245611,interneuron,layer_3,236,188,0,0,0,0,236,188,0,0,0,0,0,0,0,0,,,,layer_3
679108489,2479260.0,573376.0,15444.0,,679108489,pyramidal neuron,layer_2,604,243,75,47,529,196,0,0,0,0,0,0,0,0,0,0,,,,layer_2
3588284587,2066530.0,1182110.0,26466.0,,3588284587,spiny stellate neuron,layer_4,635,333,0,0,0,0,250,76,364,250,21,7,0,0,0,0,,,,layer_4
33747615006,1473700.0,2113340.0,160116.0,,33747615006,pyramidal neuron,white_matter,971,367,0,0,0,0,0,0,0,0,0,0,127,41,844,326,,,,white_matter
3253731173,2201820.0,1095420.0,103719.0,,3253731173,pyramidal neuron,layer_3,2119,842,0,0,77,33,1679,724,363,85,0,0,0,0,0,0,,,,layer_3
37466284408,2942080.0,906816.0,99198.0,,37466284408,interneuron,layer_2,1081,521,14,8,1067,513,0,0,0,0,0,0,0,0,0,0,,,,layer_2
29021270843,2589540.0,785856.0,117711.0,,29021270843,interneuron,layer_2,4017,1331,0,0,2431,866,1586,465,0,0,0,0,0,0,0,0,,,,layer_2
39927748931,3314850.0,1375170.0,80157.0,,39927748931,pyramidal neuron,layer_2,127,80,0,0,127,80,0,0,0,0,0,0,0,0,0,0,,,,layer_2
7357911163,2013310.0,2036420.0,8019.0,,7357911163,excitatory/spiny neuron with atypical tree,layer_5,305,137,0,0,0,0,0,0,0,0,112,37,193,100,0,0,,,,layer_5
4142334212,2205860.0,1126620.0,173052.0,,4142334212,excitatory/spiny neuron with atypical tree,layer_3,832,215,0,0,0,0,376,98,456,117,0,0,0,0,0,0,,,,layer_3
33854682964,2648860.0,2021220.0,69630.0,,33854682964,excitatory/spiny neuron with atypical tree,layer_4,164,89,0,0,0,0,0,0,155,86,9,3,0,0,0,0,,,,layer_4
28262471915,2114340.0,664288.0,142296.0,,28262471915,pyramidal neuron,layer_3,4252,1338,0,0,507,139,3745,1199,0,0,0,0,0,0,0,0,,,,layer_3
73052000920,1404220.0,838592.0,132924.0,,73052000920,unclassified neuron,layer_4,86,66,0,0,0,0,0,0,86,66,0,0,0,0,0,0,,,,layer_4
4522748579,2824220.0,1602690.0,22572.0,,4522748579,pyramidal neuron,layer_3,3584,1069,0,0,155,48,3266,999,163,22,0,0,0,0,0,0,,,,layer_3
75162401116,1310620.0,1356190.0,144342.0,,75162401116,interneuron,layer_6,96,44,0,0,0,0,0,0,0,0,0,0,96,44,0,0,,,,layer_6
4794940607,1783680.0,1364540.0,145992.0,,4794940607,pyramidal neuron,layer_5,540,230,0,0,0,0,0,0,30,15,506,215,4,0,0,0,,,,layer_5
31685412108,2547580.0,1426620.0,135399.0,,31685412108,pyramidal neuron,layer_3,2579,607,0,0,132,56,1291,373,1080,164,76,14,0,0,0,0,,,,layer_3
84064193049,3066590.0,1366270.0,159225.0,,84064193049,interneuron,layer_2,2,9,0,0,2,9,0,0,0,0,0,0,0,0,0,0,,,,layer_2
4741105882,2830620.0,1476320.0,28611.0,,4741105882,interneuron,layer_3,568,278,0,0,0,0,568,278,0,0,0,0,0,0,0,0,,,,layer_3
27259310185,2409220.0,439008.0,77088.0,,27259310185,pyramidal neuron,layer_2,461,235,0,0,461,235,0,0,0,0,0,0,0,0,0,0,,,,layer_2
30842701549,2937440.0,1166880.0,136323.0,,30842701549,pyramidal neuron,layer_2,2398,748,212,81,1455,485,731,182,0,0,0,0,0,0,0,0,,,,layer_2
6533977890,3426560.0,1824800.0,20394.0,,6533977890,interneuron,layer_2,120,177,0,0,120,177,0,0,0,0,0,0,0,0,0,0,,,,layer_2
33716908154,1091010.0,2015520.0,109395.0,,33716908154,pyramidal neuron,white_matter,1184,447,0,0,0,0,0,0,0,0,0,0,240,103,944,344,,,,white_matter
28759591438,2682780.0,768960.0,137940.0,,28759591438,pyramidal neuron,layer_2,3100,1000,162,59,2540,838,398,103,0,0,0,0,0,0,0,0,,,,layer_2
3505774611,3076670.0,1326050.0,26433.0,,3505774611,pyramidal neuron,layer_2,3538,1411,269,119,3023,1217,246,75,0,0,0,0,0,0,0,0,,,,layer_2
1259862767,2322110.0,603776.0,34617.0,,1259862767,pyramidal neuron,layer_2,1163,397,0,0,528,230,635,167,0,0,0,0,0,0,0,0,,,,layer_2
16615735802,1698240.0,2155810.0,47091.0,,16615735802,unclassified neuron,white_matter,139,87,0,0,0,0,0,0,0,0,0,0,82,54,57,33,,,,white_matter
3723299046,3107970.0,1249700.0,41613.0,,3723299046,pyramidal neuron,layer_2,559,238,0,0,559,237,0,1,0,0,0,0,0,0,0,0,,,,layer_2
38778725243,3540670.0,1097120.0,77682.0,,38778725243,interneuron,layer_1,30,19,30,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,layer_1
29221845409,1690430.0,1006940.0,74250.0,,29221845409,pyramidal neuron,layer_4,798,332,0,0,0,0,266,95,331,176,201,61,0,0,0,0,,,,layer_4
1858503339,2902020.0,744704.0,33792.0,,1858503339,pyramidal neuron,layer_2,2297,1091,1030,436,1267,655,0,0,0,0,0,0,0,0,0,0,,,,layer_2
32776633107,2621440.0,1768420.0,138930.0,,32776633107,pyramidal neuron,layer_4,559,257,0,0,0,0,248,103,311,154,0,0,0,0,0,0,,,,layer_4
30377323971,3106300.0,1289860.0,142725.0,,30377323971,excitatory/spiny neuron with atypical tree,layer_2,2259,670,0,0,1917,588,342,82,0,0,0,0,0,0,0,0,,,,layer_2
45559151281,2681500.0,667072.0,150018.0,,45559151281,interneuron,layer_2,536,451,48,53,488,398,0,0,0,0,0,0,0,0,0,0,,,,layer_2
2074306274,1947490.0,1031840.0,29733.0,,2074306274,unclassified neuron,layer_4,287,133,0,0,0,0,159,51,128,82,0,0,0,0,0,0,,,,layer_4
28727513777,1926500.0,793888.0,68442.0,,28727513777,interneuron,layer_3,142,80,0,0,0,0,142,80,0,0,0,0,0,0,0,0,,,,layer_3
4144785886,3037090.0,1267460.0,77319.0,,4144785886,pyramidal neuron,layer_2,2303,717,131,37,1608,492,564,188,0,0,0,0,0,0,0,0,,,,layer_2
40123636616,1419710.0,1549150.0,161865.0,,40123636616,excitatory/spiny neuron with atypical tree,layer_6,654,241,0,0,0,0,0,0,0,0,0,0,638,238,16,3,,,,layer_6
50438192372,3350880.0,1677120.0,124773.0,,50438192372,interneuron,layer_2,984,506,0,0,984,506,0,0,0,0,0,0,0,0,0,0,,,,layer_2
2193655685,2853090.0,808800.0,25311.0,,2193655685,interneuron,layer_2,396,206,0,0,396,206,0,0,0,0,0,0,0,0,0,0,,,,layer_2
1552525292,2723940.0,691904.0,25080.0,,1552525292,interneuron,layer_2,282,229,0,0,282,229,0,0,0,0,0,0,0,0,0,0,,,,layer_2
4869813201,2328130.0,1548540.0,65505.0,,4869813201,pyramidal neuron,layer_5,985,410,0,0,12,7,107,52,373,145,493,206,0,0,0,0,,,,layer_5
28934424044,2677600.0,831072.0,166848.0,,28934424044,pyramidal neuron,layer_2,1900,511,83,41,1349,366,468,104,0,0,0,0,0,0,0,0,,,,layer_2
39760450951,1562620.0,1334370.0,83820.0,,39760450951,interneuron,layer_5,350,252,0,0,0,0,0,0,0,0,350,252,0,0,0,0,,,,layer_5
60028814582,2280770.0,759264.0,84480.0,,60028814582,interneuron,layer_4,641,412,0,0,0,0,0,0,633,406,8,6,0,0,0,0,,,,layer_3
31538687128,2311840.0,1488900.0,130779.0,,31538687128,interneuron,layer_4,327,184,0,0,0,0,0,0,242,159,85,25,0,0,0,0,,,,layer_4
32239447875,2820000.0,1635620.0,87681.0,,32239447875,interneuron,layer_3,1146,838,0,0,0,0,1139,834,7,4,0,0,0,0,0,0,,,,layer_3
78181654549,2710340.0,2008580.0,172425.0,,78181654549,excitatory/spiny neuron with atypical tree,layer_4,30,18,0,0,0,0,0,0,30,18,0,0,0,0,0,0,,,,layer_4
3192961291,1611260.0,1059300.0,15279.0,,3192961291,unclassified neuron,layer_5,245,161,0,0,0,0,0,0,11,38,234,123,0,0,0,0,,,,layer_5
41872851726,1912830.0,1731650.0,163317.0,,41872851726,unclassified neuron,layer_5,132,50,0,0,0,0,0,0,0,0,75,34,57,16,0,0,,,,layer_5
40072212975,3106020.0,1342080.0,119790.0,,40072212975,interneuron,layer_2,105,184,0,0,105,184,0,0,0,0,0,0,0,0,0,0,,,,layer_2
41324729508,1844930.0,1846780.0,118338.0,,41324729508,interneuron,layer_2,498,225,0,0,255,134,243,91,0,0,0,0,0,0,0,0,,,,layer_6
30981395989,1310240.0,1352260.0,92895.0,,30981395989,interneuron,layer_6,218,243,0,0,0,0,0,0,0,0,0,0,218,243,0,0,,,,layer_6
1114772716,2495810.0,575712.0,74052.0,,1114772716,pyramidal neuron,layer_2,4940,1459,170,66,4187,1287,583,106,0,0,0,0,0,0,0,0,,,,layer_2
882105235,2536000.0,510336.0,65472.0,,882105235,pyramidal neuron,layer_2,1313,458,113,53,1197,405,3,0,0,0,0,0,0,0,0,0,,,,layer_2
5055786972,1602460.0,1461760.0,154968.0,,5055786972,unclassified neuron,layer_5,1286,385,0,0,0,0,0,0,23,4,654,230,609,151,0,0,,,,layer_5
38660748322,3130940.0,1166370.0,103290.0,,38660748322,spiny stellate neuron,layer_2,2619,806,261,116,2358,689,0,1,0,0,0,0,0,0,0,0,,,,layer_2
32203749263,1227490.0,1620420.0,123123.0,,32203749263,interneuron,white_matter,138,201,0,0,0,0,0,0,0,0,0,0,83,85,55,116,,,,white_matter
30974109956,3063680.0,1348900.0,71511.0,,30974109956,interneuron,layer_2,1287,414,0,0,886,321,401,93,0,0,0,0,0,0,0,0,,,,layer_2
96289274469,2377700.0,2169730.0,169290.0,,96289274469,unclassified neuron,layer_5,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,,,layer_5
