Filename,Soma_X,Soma_Y,Soma_Z,LCC_Node_Proportion,C3 agglomeration id,Cell type,Cell body layer old, E count all inputs, I count all inputs, E count layer 1, I count layer 1, E count layer 2, I count layer 2, E count layer 3, I count layer 3, E count layer 4, I count layer 4, E count layer 5, I count layer 5, E count layer 6, I count layer 6, E count white matter, I count white matter,Soma_x,Soma_y,Soma_z,Cell body layer
51224223435,3322460,1955520,91773,,51224223435,pyramidal neuron,layer_2,2,6,0,0,2,6,0,0,0,0,0,0,0,0,0,0,,,,layer_2
48698307078,1563650,1355840,168267,,48698307078,pyramidal neuron,layer_5,63,53,0,0,0,0,0,0,0,0,63,53,0,0,0,0,,,,layer_5
47217430022,2521090,975136,164538,,47217430022,interneuron,layer_3,248,145,0,0,0,0,248,145,0,0,0,0,0,0,0,0,,,,layer_3
39728532886,941856,1301440,86196,,39728532886,pyramidal neuron,layer_6,3,10,0,0,0,0,0,0,0,0,0,0,3,10,0,0,,,,layer_6
5030936462,2644770,1368130,79761,,5030936462,pyramidal neuron,layer_5,1270,569,0,0,58,34,92,61,393,125,727,349,0,0,0,0,,,,layer_3
15234976274,2335840,1782880,153483,,15234976274,pyramidal neuron,layer_5,1478,544,0,0,0,0,135,74,146,40,1197,430,0,0,0,0,,,,layer_5
7415907618,1974050,2030720,38445,,7415907618,interneuron,layer_6,375,267,0,0,0,0,0,0,0,0,0,0,375,267,0,0,,,,layer_6
37231004360,2426110,739680,103455,,37231004360,interneuron,layer_3,965,568,0,0,362,200,603,368,0,0,0,0,0,0,0,0,,,,layer_2
5309244842,3088030,1609820,6468,,5309244842,pyramidal neuron,layer_3,2335,809,0,0,749,249,1586,560,0,0,0,0,0,0,0,0,,,,layer_3
30328922178,2043520,1189860,119361,,30328922178,pyramidal neuron,layer_4,977,372,0,0,0,0,292,70,666,301,19,1,0,0,0,0,,,,layer_4
34028725827,2501090,2066560,46332,,34028725827,unclassified neuron,layer_5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,layer_5
37789286205,3645980,854368,61974,,37789286205,interneuron,layer_1,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,layer_1
28119147972,2695100,629664,124674,,28119147972,pyramidal neuron,layer_2,832,300,105,51,727,249,0,0,0,0,0,0,0,0,0,0,,,,layer_2
39592730893,3190460,1340960,90420,,39592730893,interneuron,layer_2,859,437,0,0,845,429,14,8,0,0,0,0,0,0,0,0,,,,layer_2
3210337535,2401600,1629310,168465,,3210337535,pyramidal neuron,layer_3,4151,988,0,0,0,0,4091,975,60,13,0,0,0,0,0,0,,,,layer_4
2979846433,2887780,974208,41646,,2979846433,interneuron,layer_2,165,137,0,0,163,137,2,0,0,0,0,0,0,0,0,0,,,,layer_2
7052458423,2155840,1973060,77088,,7052458423,excitatory/spiny neuron with atypical tree,layer_5,1460,642,0,0,0,0,0,0,0,0,1436,631,24,11,0,0,,,,layer_5
6290944374,974240,1795620,9405,,6290944374,interneuron,white_matter,6,46,0,0,0,0,0,0,0,0,0,0,0,0,6,46,,,,white_matter
4608398049,2534620,1235620,137445,,4608398049,pyramidal neuron,layer_3,2466,611,0,0,0,0,2386,599,79,12,1,0,0,0,0,0,,,,layer_3
37956074104,1541760,934592,170016,,37956074104,pyramidal neuron,layer_4,291,79,0,0,0,0,44,4,247,75,0,0,0,0,0,0,,,,layer_4
6213617027,3561950,1615490,70983,,6213617027,pyramidal neuron,layer_2,350,128,131,33,219,95,0,0,0,0,0,0,0,0,0,0,,,,layer_1
5100057607,1748860,1245060,143484,,5100057607,pyramidal neuron,layer_5,835,469,0,0,0,0,0,0,5,3,830,464,0,2,0,0,,,,layer_5
51222484938,2758270,1953220,147807,,51222484938,interneuron,layer_4,1841,603,0,0,0,0,1274,427,567,176,0,0,0,0,0,0,,,,layer_4
823467559,2301570,519552,45804,,823467559,pyramidal neuron,layer_2,557,240,0,0,317,194,240,46,0,0,0,0,0,0,0,0,,,,layer_2
65612515790,1217440,1139140,150612,,65612515790,unclassified neuron,layer_5,23,13,0,0,0,0,0,0,0,0,23,13,0,0,0,0,,,,layer_5
4516629580,1378270,1355680,9570,,4516629580,unclassified neuron,layer_6,294,131,0,0,0,0,0,0,0,0,16,5,278,126,0,0,,,,layer_6
5351208531,2491330,1628610,50655,,5351208531,pyramidal neuron,layer_4,551,225,0,0,0,0,116,42,435,183,0,0,0,0,0,0,,,,layer_4
33547478165,2297730,1889890,164439,,33547478165,interneuron,layer_5,431,194,0,0,0,0,0,0,0,0,431,194,0,0,0,0,,,,layer_5
49768225054,3309440,1710080,103158,,49768225054,pyramidal neuron,layer_2,1057,331,0,0,1010,321,47,10,0,0,0,0,0,0,0,0,,,,layer_2
5233904289,2422020,1457470,110583,,5233904289,interneuron,layer_4,2883,1562,0,0,0,0,569,299,1785,1040,529,223,0,0,0,0,,,,layer_4
4651703620,2384960,1564000,3960,,4651703620,pyramidal neuron,layer_4,1755,495,0,0,0,0,225,60,737,265,793,170,0,0,0,0,,,,layer_4
2891260926,2679140,1094300,18777,,2891260926,pyramidal neuron,layer_3,5687,1412,153,77,1713,358,3821,977,0,0,0,0,0,0,0,0,,,,layer_3
64582516422,2065920,909952,146883,,64582516422,pyramidal neuron,layer_3,38,48,0,0,0,0,38,48,0,0,0,0,0,0,0,0,,,,layer_3
6934131750,1719100,2022980,70455,,6934131750,pyramidal neuron,layer_6,3954,1344,0,0,131,62,233,130,143,65,702,219,2494,812,251,56,,,,layer_6
28658013145,2728130,670656,126654,,28658013145,pyramidal neuron,layer_2,657,270,41,24,616,246,0,0,0,0,0,0,0,0,0,0,,,,layer_2
3663173016,2626050,1022660,114081,,3663173016,pyramidal neuron,layer_3,5201,1469,106,33,1248,286,3847,1150,0,0,0,0,0,0,0,0,,,,layer_3
