Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cluster
2934114860_sort.swc,29515,260.889,4,3187,6379,3193,745.09,857.38,173.844,0.562759,9115.79,16670.7,4627.35,766.902,873.138,262,0.975939,3.62674,0.819216,101.167,96.4197,1.19168,1
29343267425_sort.swc,12817,109.149,4,1303,2608,1306,282.95,464.098,118.899,0.54448,4000.81,7103.61,2272.08,296.93,344.297,133,0.974913,3.91411,0.792201,100.704,96.183,1.12772,3
29353006155_sort.swc,9957,177.917,6,761,1528,768,472.51,527.168,114.873,0.571106,3160.49,5867.47,1337.67,487.453,540.784,129,0.97239,5.51571,0.805005,100.065,94.5585,1.1015,0
29353794147_sort.swc,7236,200.227,5,286,577,292,319.68,439.844,115.071,0.601445,2319.82,4757.94,1880.97,339.807,381.695,60,0.969428,11.539,0.845557,101.832,94.5019,1.09516,4
29370920183_sort.swc,17466,352.573,7,2896,5812,2917,336.51,524.864,113.751,0.514451,5312.88,8718.45,1539.31,318.338,392.108,258,0.981984,2.00499,0.820257,100.215,97.1801,1.1596,2
29396911229_sort.swc,7571,160.288,7,324,654,331,389.09,502.244,112.827,0.527227,2469.08,4323.12,1072.78,402.0,463.088,62,0.969401,10.5749,0.779676,100.798,92.2071,1.07572,4
29425689915_sort.swc,20236,174.157,6,2077,4160,2084,564.67,774.498,114.906,0.500829,6288.56,10444.9,3049.82,546.86,624.831,230,0.971721,3.86418,0.812656,102.145,96.5495,1.12949,2
29440071377_sort.swc,11298,115.345,6,658,1320,663,371.68,477.026,113.157,0.462376,3585.77,5481.61,1276.06,368.944,423.103,123,0.971247,7.55833,0.824891,101.817,95.4509,1.13416,0
29454877383_sort.swc,10900,229.393,4,651,1306,656,363.52,479.07,115.632,0.480329,3436.38,5379.52,1156.86,336.717,376.775,93,0.970932,7.34533,0.841238,100.233,94.4288,1.13282,0
29484342173_sort.swc,9650,235.596,5,887,1778,892,398.94,433.822,114.147,0.501785,3045.54,4972.82,943.416,380.309,455.731,150,0.969606,4.42688,0.812522,100.88,95.2691,1.12894,3
29484997349_sort.swc,15645,314.535,5,1179,2362,1184,596.0,644.128,115.632,0.526018,4926.95,8574.92,2159.67,587.358,674.059,156,0.972707,5.6232,0.803518,102.561,97.1518,1.09856,0
29487772888_sort.swc,15819,240.413,5,1367,2740,1374,456.16,512.74,119.46,0.422152,4936.55,6672.32,1157.9,381.265,449.99,115,0.977606,4.77299,0.782092,101.281,96.9014,1.18228,3
29512463551_sort.swc,8211,140.329,5,531,1066,536,288.9,510.3,110.22,0.545795,2619.12,4759.26,1531.16,385.367,437.444,94,0.9718,6.70169,0.814352,101.998,95.4998,1.13325,3
29512507020_sort.swc,5791,132.616,5,401,806,406,237.28,308.898,114.906,0.505621,1847.1,3154.73,863.286,284.813,332.523,85,0.971937,6.18362,0.815822,101.1,95.1288,1.08432,3
29514537260_sort.swc,30053,171.029,7,3988,8000,4013,733.89,1024.77,115.698,0.451335,9210.38,13798.5,3598.59,817.994,907.005,309,0.974827,2.7565,0.803837,101.757,97.4492,1.19768,1
29527897053_sort.swc,13654,352.64,3,667,1336,670,500.23,778.396,113.322,0.556643,4334.09,7825.08,2073.8,546.509,602.113,126,0.97094,9.21931,0.799271,100.239,92.4986,1.12017,0
