UMAP1,UMAP2,label
12.082021,4.9850807,interneuron
9.5808,13.393932,interneuron
11.321079,11.3532095,interneuron
8.731261,10.742322,interneuron
8.459084,9.90983,interneuron
9.955111,10.001058,interneuron
9.1940365,12.33697,interneuron
10.03568,10.816422,interneuron
11.73585,10.34409,interneuron
8.686227,10.0039425,interneuron
11.299241,10.979072,interneuron
8.185887,1.127656,interneuron
-1.8430041,9.532013,interneuron
8.772449,13.463,interneuron
10.78834,11.275067,interneuron
8.803216,14.228632,interneuron
-2.0028346,8.667461,interneuron
7.9347215,10.038203,interneuron
8.700971,11.810682,interneuron
8.777059,13.730899,interneuron
9.422132,12.778599,interneuron
10.330553,11.713916,interneuron
8.545,10.036313,interneuron
8.813353,11.903785,interneuron
11.501704,10.303707,interneuron
11.210409,9.590794,interneuron
11.840706,10.2740755,interneuron
11.800352,11.405062,interneuron
10.76079,9.353681,interneuron
8.773099,10.180521,interneuron
11.448165,11.850199,interneuron
11.78237,11.311035,interneuron
11.136676,9.286818,interneuron
11.535351,10.4821415,interneuron
9.649532,11.730902,interneuron
11.411205,10.491896,interneuron
9.049769,12.227899,interneuron
11.982901,10.717178,interneuron
9.965789,10.751024,interneuron
9.965028,9.82387,interneuron
9.706489,12.503722,interneuron
11.765536,9.77316,interneuron
11.674954,11.922296,interneuron
11.406227,11.872983,interneuron
11.677869,11.177615,interneuron
10.621985,10.789431,interneuron
11.890483,6.253759,interneuron
-1.9081315,8.689892,interneuron
8.8888445,9.59374,interneuron
11.299762,9.431096,interneuron
12.3748665,10.027381,interneuron
10.066116,10.247058,interneuron
8.724082,10.09061,interneuron
9.508414,11.64435,interneuron
9.225876,9.757011,interneuron
8.818091,10.671731,interneuron
9.73036,11.612739,interneuron
11.678863,9.863294,interneuron
10.7140255,8.957504,interneuron
10.778542,7.993638,interneuron
11.81136,10.030132,interneuron
8.425413,11.389773,interneuron
10.642624,9.254104,interneuron
10.576671,7.541383,interneuron
11.214522,9.328839,interneuron
10.772612,9.453302,interneuron
11.579558,11.87331,interneuron
11.528839,10.762178,interneuron
9.06033,9.289823,interneuron
-1.852645,9.511379,interneuron
11.683553,9.668531,interneuron
8.721177,10.107581,interneuron
9.387175,9.678898,interneuron
11.768632,10.157453,interneuron
11.349961,10.774824,interneuron
12.221692,10.560893,interneuron
9.864952,10.302675,interneuron
8.235831,10.615893,interneuron
9.648826,11.545164,interneuron
10.62243,11.706729,interneuron
11.297877,9.336507,interneuron
11.180815,9.40817,interneuron
11.63373,11.656347,interneuron
9.587621,10.328212,interneuron
10.563202,9.636136,interneuron
12.12148,10.460628,interneuron
10.930196,11.197653,interneuron
11.305253,11.344824,interneuron
11.00941,10.040085,interneuron
9.974737,11.424964,interneuron
10.439336,9.668881,interneuron
11.591335,9.860907,interneuron
9.301587,11.491142,interneuron
9.27493,12.285672,interneuron
8.102832,10.746572,interneuron
11.9622135,4.4520335,interneuron
12.077244,10.109341,interneuron
8.379211,11.681132,interneuron
11.681554,11.16104,interneuron
10.773305,6.244157,interneuron
10.876055,9.241921,interneuron
10.597121,10.896132,interneuron
12.744081,3.3861964,interneuron
10.025947,9.800728,interneuron
11.342464,9.735291,interneuron
10.099051,9.987173,interneuron
10.893538,11.640128,interneuron
8.0678625,11.606959,interneuron
11.561373,11.099348,interneuron
11.731742,5.7354736,interneuron
12.036668,10.308815,interneuron
11.700978,7.013445,interneuron
10.692505,8.192535,interneuron
9.436392,4.954495,interneuron
11.345404,5.736457,interneuron
11.456481,10.341469,interneuron
10.091084,6.831336,interneuron
12.289154,10.36292,interneuron
11.413238,9.598906,interneuron
8.702892,10.0305,interneuron
10.095415,9.95057,interneuron
11.225166,9.604198,interneuron
8.59289,12.087643,interneuron
8.090813,2.5009623,interneuron
10.029626,11.039093,interneuron
9.576495,11.674112,interneuron
11.38335,10.075261,interneuron
10.003796,12.07266,interneuron
9.379435,11.075358,interneuron
11.578327,9.504323,interneuron
10.32652,12.702575,interneuron
10.743501,10.135741,interneuron
8.02463,10.027189,interneuron
-1.8642858,8.885782,interneuron
11.057465,9.105445,interneuron
12.072115,10.357444,interneuron
8.3996935,9.9464655,interneuron
9.05626,11.764863,interneuron
10.806734,7.6480093,interneuron
11.356546,12.1312895,interneuron
9.559541,14.068095,interneuron
9.624434,11.849197,interneuron
10.903855,12.731394,interneuron
-1.9554427,9.342744,interneuron
10.994693,7.334374,interneuron
10.5048,8.42025,interneuron
-1.9871767,8.619671,interneuron
9.740876,9.205838,interneuron
11.943777,9.955749,interneuron
10.157007,11.549225,interneuron
10.397091,11.663575,interneuron
10.588683,7.0241966,interneuron
10.180783,11.829189,interneuron
10.065829,11.525701,interneuron
11.959976,11.013109,interneuron
10.461198,5.390387,interneuron
8.214014,10.383776,interneuron
8.349668,10.924668,interneuron
10.59904,11.589873,interneuron
11.244669,9.5346985,interneuron
11.826074,9.034296,interneuron
8.651441,13.633745,interneuron
10.943052,12.331544,interneuron
11.102264,7.014977,interneuron
11.296309,10.957979,interneuron
9.806354,11.8828745,interneuron
11.403391,12.126138,interneuron
10.844095,5.141557,interneuron
11.9087,10.215648,interneuron
9.513937,10.975531,interneuron
11.750658,10.422706,interneuron
11.802913,9.571103,interneuron
10.789601,10.571707,interneuron
10.771302,9.696344,interneuron
8.280649,3.8344631,interneuron
9.61335,10.534567,interneuron
10.857859,8.696172,interneuron
8.958785,9.92435,interneuron
11.514076,10.046765,interneuron
8.702845,12.288247,interneuron
9.496218,11.402341,interneuron
9.709305,11.143854,interneuron
9.489498,11.5932455,interneuron
10.578991,10.323687,interneuron
11.515493,12.045101,interneuron
8.504136,13.645894,interneuron
9.845582,10.085872,interneuron
11.077121,9.8842745,interneuron
11.326767,-1.0921386,interneuron
10.727595,11.136933,interneuron
11.461714,9.349206,interneuron
10.092522,9.441511,interneuron
-2.605229,8.780515,interneuron
9.297688,10.765199,interneuron
9.644942,11.081286,interneuron
8.988199,12.313999,interneuron
8.647909,4.907222,interneuron
11.026856,10.210612,interneuron
10.74736,11.2123,interneuron
8.578066,5.019711,interneuron
9.208307,9.793977,interneuron
11.703281,9.877468,interneuron
11.536076,9.468589,interneuron
9.555756,13.85516,interneuron
8.513447,11.674146,interneuron
11.172476,9.834901,interneuron
11.790414,9.875791,interneuron
10.893572,9.572509,interneuron
8.737328,11.97589,interneuron
9.932785,3.3257067,interneuron
10.43981,11.3127365,interneuron
11.679902,11.937131,interneuron
11.399263,9.907394,interneuron
9.670637,13.0596075,interneuron
7.9231334,3.1032395,interneuron
9.975463,10.423427,interneuron
9.212973,9.349414,interneuron
8.4193325,9.962874,interneuron
10.6169615,7.1083837,interneuron
10.309314,5.1401405,interneuron
9.263543,10.06869,interneuron
10.27821,10.801567,interneuron
11.076439,9.111393,interneuron
11.018529,11.560933,interneuron
10.569786,10.973169,interneuron
10.533332,10.706186,interneuron
11.117523,11.574302,interneuron
8.313826,10.106701,interneuron
10.818767,9.16077,interneuron
10.701262,10.416567,interneuron
11.750541,10.301143,interneuron
9.685793,11.548147,interneuron
11.656251,9.734897,interneuron
11.517217,9.443828,interneuron
8.289898,11.439129,interneuron
10.498,9.8096285,interneuron
9.904244,11.039855,interneuron
11.908765,11.110285,interneuron
10.608567,9.354192,interneuron
7.979321,9.961322,interneuron
11.69673,11.468535,interneuron
11.941772,11.268264,interneuron
9.194236,10.224177,interneuron
9.777883,11.502419,interneuron
9.630913,10.014514,interneuron
9.331949,11.064205,interneuron
10.445932,11.319837,interneuron
9.1963005,9.524413,interneuron
10.5181875,5.378418,interneuron
8.869684,13.899253,interneuron
-1.985116,9.345873,interneuron
9.549101,10.514065,interneuron
11.148522,9.276851,interneuron
13.330403,6.731065,interneuron
10.0103,11.889113,interneuron
8.976729,13.839832,interneuron
10.579514,11.506486,interneuron
9.965681,10.196398,interneuron
11.189403,6.989915,interneuron
9.129607,10.183208,interneuron
10.742477,9.163433,interneuron
9.384756,12.806534,interneuron
9.649785,9.532185,interneuron
11.01458,9.134993,interneuron
10.913087,9.646342,interneuron
11.558678,9.615615,interneuron
8.589972,4.9393735,interneuron
10.804059,9.603334,interneuron
10.105456,12.108381,interneuron
11.548803,12.099412,interneuron
12.36814,10.535976,interneuron
10.786409,9.720352,interneuron
12.079272,10.883115,interneuron
10.963372,9.444406,interneuron
9.957189,10.153476,interneuron
9.318373,9.597299,interneuron
9.224158,9.796503,interneuron
10.970386,10.122872,interneuron
11.044196,12.539794,interneuron
10.767604,6.0293746,interneuron
12.365364,10.5463085,interneuron
11.666861,9.150723,interneuron
9.361584,10.012867,interneuron
8.582915,9.630677,interneuron
10.743804,6.6521683,interneuron
10.394377,10.708565,interneuron
11.670436,9.855188,interneuron
11.359617,9.554972,interneuron
10.819293,9.476607,interneuron
10.735408,10.080871,interneuron
12.356427,10.446842,interneuron
8.995178,9.453849,interneuron
10.549248,11.910737,interneuron
8.7902355,10.18752,interneuron
11.019685,12.721285,interneuron
8.80784,11.565185,interneuron
11.398651,8.823868,interneuron
9.650102,12.711472,interneuron
11.879488,9.447848,interneuron
9.351009,13.632856,interneuron
12.3692255,10.547441,interneuron
12.276789,9.739126,interneuron
10.334114,9.730216,interneuron
11.476709,9.647729,interneuron
8.796828,10.434579,interneuron
9.08287,10.701059,interneuron
12.0743265,10.316648,interneuron
10.644203,12.543459,interneuron
12.2876215,9.726062,interneuron
11.695349,7.222415,interneuron
9.708854,13.519997,interneuron
10.309407,9.407734,interneuron
9.470076,13.773187,interneuron
8.652223,12.495527,interneuron
10.432854,9.804159,interneuron
9.867504,12.075231,interneuron
11.713963,11.163718,interneuron
10.731573,11.612207,interneuron
10.913452,9.203371,interneuron
10.923543,12.466431,interneuron
9.797778,10.126734,interneuron
12.116629,10.200552,interneuron
8.790451,12.109365,interneuron
8.000693,10.018782,interneuron
8.988401,10.586071,interneuron
11.192806,8.054857,interneuron
-1.881522,8.902235,interneuron
8.4409895,10.745518,interneuron
11.345298,11.92881,interneuron
12.338087,10.029412,interneuron
9.2787895,9.759518,interneuron
9.794683,13.581229,interneuron
10.163513,9.335312,interneuron
11.626298,8.988986,interneuron
10.444306,10.912701,interneuron
9.30339,10.879767,interneuron
11.268818,11.34918,interneuron
10.973738,12.186932,interneuron
10.141485,10.084503,interneuron
10.163717,12.812937,interneuron
10.19504,11.94547,interneuron
10.904743,10.630776,interneuron
10.71599,8.498778,interneuron
10.213281,8.569748,interneuron
11.518786,11.144372,interneuron
-2.0332696,9.275516,interneuron
9.582164,10.873425,interneuron
11.863629,11.526748,interneuron
11.1303835,8.961153,interneuron
11.602067,11.094556,interneuron
11.423795,10.33052,interneuron
9.23585,10.335686,interneuron
10.359381,11.607653,interneuron
8.764817,11.02907,interneuron
12.0034685,9.961807,interneuron
11.526421,9.569174,interneuron
11.2754755,8.425989,interneuron
12.350437,9.583707,interneuron
8.274264,11.07719,interneuron
9.201571,12.162695,interneuron
-1.917041,9.16399,interneuron
9.340978,13.336301,interneuron
11.215096,11.375591,interneuron
8.511386,10.249243,interneuron
11.552487,9.491873,interneuron
10.438497,3.3801587,interneuron
11.153999,4.2439284,interneuron
8.596626,9.922438,interneuron
9.359313,12.754827,interneuron
9.931974,10.739026,interneuron
9.845215,14.039452,interneuron
10.309952,11.503393,interneuron
11.139781,10.206396,interneuron
9.747118,10.008209,interneuron
10.098475,12.586493,interneuron
8.389743,10.390328,interneuron
10.913369,8.925098,interneuron
11.616845,10.853768,interneuron
9.944887,12.6652,interneuron
12.347945,9.624941,interneuron
11.348773,9.33067,interneuron
11.278423,11.06962,interneuron
9.2442665,11.557894,interneuron
12.333384,9.6222105,interneuron
11.961369,10.961,interneuron
9.548864,13.919268,interneuron
9.888193,11.52356,interneuron
9.563984,12.780324,interneuron
8.993722,13.556298,interneuron
8.683783,12.2240505,interneuron
9.783534,13.825726,interneuron
9.551126,11.639044,interneuron
9.145825,12.40221,interneuron
10.582722,10.364255,interneuron
10.0229225,12.822601,interneuron
9.296517,14.470716,interneuron
10.8940935,10.8689785,interneuron
10.647625,10.957348,interneuron
10.486458,12.55603,interneuron
8.497703,10.934772,interneuron
8.232408,10.251968,interneuron
9.707813,12.726336,interneuron
10.506896,12.891299,interneuron
10.532833,9.708901,interneuron
9.319366,13.458882,interneuron
9.298157,13.584058,interneuron
-1.9863394,9.348874,interneuron
11.921152,10.490713,interneuron
11.063865,10.29367,interneuron
9.641597,12.830535,interneuron
8.94493,14.102495,interneuron
11.091965,12.285356,interneuron
9.664557,12.597053,interneuron
10.235618,10.073478,interneuron
11.354776,11.668942,interneuron
8.700259,10.872896,interneuron
8.928819,10.16588,interneuron
9.720993,11.276434,interneuron
10.736881,11.636194,interneuron
8.714152,9.981659,interneuron
8.449186,10.668992,interneuron
10.139568,11.615577,interneuron
11.181093,11.3725195,interneuron
10.505444,12.496623,interneuron
9.423697,11.577559,interneuron
11.246464,7.6706614,interneuron
8.781298,14.250314,interneuron
8.52394,10.497817,interneuron
9.67062,11.457883,interneuron
