Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cell type,Cell body layer,predict_layer,level,Cluster
2572608984_sort.swc,20123,116.376,3,1522,3050,1529,329.28,370.304,164.01,0.403754,6070.31,8019.07,1616.68,214.712,293.56,146,0.926889,5.59738,0.826826,101.75,96.0547,1.26737,pyramidal neuron,layer_2,layer_2,1level,29
2596598296_sort.swc,9620,154.197,4,458,918,461,297.6,357.28,55.44,0.530032,3009.62,5454.79,1929.0,299.949,357.19,70,0.926176,9.47821,0.798811,101.299,91.37,1.20457,pyramidal neuron,layer_4,layer_4,1level,32
2615929829_sort.swc,6245,90.7072,4,462,927,466,219.39,148.932,66.759,0.424207,1905.2,2729.59,707.453,150.433,193.944,95,0.933155,5.73571,0.849786,100.64,95.4949,1.23523,pyramidal neuron,layer_2,layer_2,1level,32
2641716053_sort.swc,7069,174.51,3,328,657,330,255.87,293.476,66.99,0.516044,2218.34,4155.53,2270.91,267.863,336.319,107,0.92913,9.75799,0.816754,102.621,92.0138,1.20388,pyramidal neuron,layer_3,layer_3,1level,32
2642474626_sort.swc,8619,200.52,3,391,783,393,339.3,237.632,173.943,0.462374,2691.62,4133.26,1312.68,264.737,373.397,109,0.925351,10.0064,0.809819,101.855,95.2488,1.16081,pyramidal neuron,layer_4,layer_4,1level,29
2654535932_sort.swc,11337,26.5226,6,620,1245,626,284.25,371.78,114.048,0.486044,3498.38,5487.26,1201.56,249.146,302.308,84,0.924172,8.10522,0.842643,102.429,94.1009,1.22009,pyramidal neuron,layer_4,layer_4,1level,29
2671137240_sort.swc,12855,96.9978,3,745,1494,750,361.44,377.54,66.759,0.472658,3956.96,6128.31,1797.06,293.641,405.924,152,0.923256,7.60375,0.837462,101.403,95.5035,1.24993,pyramidal neuron,layer_4,layer_4,1level,32
2683635722_sort.swc,5778,27.7759,5,421,846,426,205.73,152.9,132.825,0.579287,1772.18,3332.47,896.92,183.675,241.278,103,0.926642,5.82861,0.895326,106.44,96.565,1.26494,pyramidal neuron,layer_4,layer_4,1level,29
2685168558_sort.swc,8531,147.78,3,525,1052,528,335.07,298.24,148.071,0.503317,2635.36,4485.36,1632.2,302.064,355.062,149,0.924515,7.10837,0.855426,102.112,95.6646,1.25679,pyramidal neuron,layer_4,layer_4,1level,29
2727671250_sort.swc,3029,30.2297,2,144,288,145,158.2,137.472,54.285,0.573552,950.875,1762.58,459.37,111.787,143.746,37,0.919708,9.51389,0.859036,104.186,98.651,1.14789,pyramidal neuron,layer_4,layer_4,1level,32
27289505000_sort.swc,23645,51.8572,2,1836,3676,1841,414.59,384.64,120.12,0.427764,7137.36,9707.46,2192.4,266.646,410.363,229,0.933084,5.43199,0.822077,101.565,96.1818,1.28398,pyramidal neuron,layer_2,layer_2,1level,29
27361370121_sort.swc,59248,514.87,5,4525,9072,4548,423.71,458.432,119.592,0.444358,18031.2,25698.2,5570.13,391.842,452.609,267,0.926195,5.53075,0.842617,100.509,94.8245,1.38431,pyramidal neuron,layer_2,layer_2,1level,7
27434273578_sort.swc,25568,83.4252,5,1505,3019,1515,537.66,721.02,115.302,0.372592,7835.73,9354.69,1766.0,706.918,807.011,166,0.926989,7.4687,0.821449,101.127,95.6315,1.28506,pyramidal neuron,layer_2,layer_2,1level,29
27580034942_sort.swc,49146,582.292,6,3631,7279,3649,375.97,475.616,115.038,0.414028,14993.2,20023.3,3861.43,277.921,442.706,188,0.926331,5.75161,0.813365,100.438,96.7554,1.35005,pyramidal neuron,layer_2,layer_2,1level,7
27593935598_sort.swc,60207,401.36,6,4493,9006,4514,586.18,494.848,124.707,0.432319,18268.1,25538.3,5277.8,442.495,591.855,376,0.930366,5.6851,0.833001,101.303,96.2106,1.34836,pyramidal neuron,layer_2,layer_2,1level,7
27639066866_sort.swc,66622,182.397,4,5342,10711,5370,488.29,676.45,119.625,0.406548,20124.5,26009.2,6052.27,432.824,515.544,390,0.928131,5.21987,0.828833,100.59,94.8846,1.37286,pyramidal neuron,layer_2,layer_2,1level,7
27652018127_sort.swc,38119,238.444,8,2995,6006,3012,358.4,281.824,122.034,0.458825,11593.6,17949.2,6008.78,265.712,357.265,242,0.928455,5.34665,0.838271,100.402,94.7834,1.37076,pyramidal neuron,layer_2,layer_2,1level,7
27666677953_sort.swc,35752,278.259,6,2326,4664,2339,526.78,598.592,117.216,0.476637,10974.2,17519.4,5790.8,467.431,540.981,156,0.932717,6.66531,0.816087,100.331,94.7423,1.26418,pyramidal neuron,layer_2,layer_2,1level,29
27694520166_sort.swc,19788,121.74,4,1063,2131,1069,433.5,513.664,171.996,0.407407,6085.13,8054.5,1784.23,344.783,424.877,112,0.923943,8.28531,0.826487,101.127,94.5232,1.24184,pyramidal neuron,layer_3,layer_4,1level,29
27739477105_sort.swc,30129,148.987,6,1955,3919,1965,391.65,478.208,118.701,0.498384,9266.5,15112.0,4876.59,435.894,509.513,164,0.929471,6.68768,0.838018,100.737,94.2298,1.2945,pyramidal neuron,layer_2,layer_2,1level,29
27740354358_sort.swc,29279,121.941,3,1931,3872,1942,342.34,476.96,115.038,0.387658,8907.48,11210.5,2369.38,288.14,599.735,182,0.929895,6.56147,0.812481,101.527,95.5311,1.30234,pyramidal neuron,layer_2,layer_2,1level,29
27885648850_sort.swc,45147,135.76,3,2931,5879,2949,390.79,546.56,119.031,0.470048,13854.1,20746.5,5278.74,330.257,669.37,217,0.927593,6.6792,0.835072,100.387,94.9595,1.34339,pyramidal neuron,layer_2,layer_2,1level,29
27899446363_sort.swc,21162,146.738,6,1704,3416,1713,337.92,502.688,119.559,0.438174,6401.55,9270.32,2540.42,302.66,362.188,173,0.936744,5.19467,0.822643,100.707,95.4155,1.29014,pyramidal neuron,layer_2,layer_2,1level,29
27914265666_sort.swc,32421,279.106,4,2464,4936,2473,535.2,386.112,117.348,0.394216,9822.16,12569.0,2643.84,350.513,448.95,264,0.931161,5.56807,0.812875,101.857,96.3205,1.31835,pyramidal neuron,layer_2,layer_2,1level,29
27915434680_sort.swc,4932,209.547,5,161,325,165,228.03,222.34,65.637,0.452898,1582.61,2562.94,733.008,161.38,285.1,25,0.924391,14.1723,0.842018,102.972,92.0794,1.11197,pyramidal neuron,layer_2,layer_5,1level,32
27943250112_sort.swc,18947,320.094,5,1436,2879,1444,289.95,284.64,116.226,0.446781,5788.42,8587.08,2246.58,244.982,303.431,212,0.927735,5.58076,0.820986,100.594,94.9309,1.30732,pyramidal neuron,layer_2,layer_2,1level,29
27957324782_sort.swc,24047,205.906,5,1776,3559,1784,441.76,455.584,115.038,0.442983,7317.94,10897.7,3031.04,333.414,403.825,226,0.929367,5.75639,0.821826,100.655,95.4948,1.26666,pyramidal neuron,layer_2,layer_2,1level,29
27971795059_sort.swc,4991,32.4488,3,308,618,311,97.98,182.752,114.312,0.43029,1532.37,2149.85,422.303,188.101,231.845,77,0.925088,7.07443,0.779735,99.7992,91.8705,1.23487,pyramidal neuron,layer_2,layer_2,1level,29
27972057340_sort.swc,54090,147.715,4,4248,8512,4265,424.22,519.392,119.526,0.420717,16374.3,22114.3,6115.27,323.629,416.401,228,0.933776,5.35444,0.778984,100.497,95.3914,1.35891,pyramidal neuron,layer_3,layer_3,1level,7
27987974168_sort.swc,23549,163.728,12,1960,3935,1976,329.63,431.648,120.186,0.396079,7121.85,9149.12,1549.24,292.599,366.579,220,0.935072,4.98424,0.832161,101.44,95.8946,1.28267,pyramidal neuron,layer_2,layer_2,1level,29
28015874310_sort.swc,56908,395.404,9,4590,9209,4620,613.47,557.246,122.001,0.454994,17244.6,25353.3,5811.84,536.835,606.821,282,0.933419,5.1795,0.833947,100.874,95.9959,1.3635,pyramidal neuron,layer_3,layer_3,1level,7
28031614425_sort.swc,24334,82.2823,4,1809,3624,1816,232.51,429.184,119.889,0.350867,7320.2,8291.54,1443.48,279.075,327.43,171,0.93413,5.7144,0.823294,100.578,95.1233,1.33845,pyramidal neuron,layer_2,layer_2,1level,29
28045908752_sort.swc,13729,134.035,5,1116,2239,1124,260.09,231.874,107.448,0.366086,4141.67,4968.36,932.805,163.838,243.928,140,0.931566,5.13131,0.801518,101.536,96.1823,1.28422,pyramidal neuron,layer_2,layer_2,1level,29
28060189045_sort.swc,32365,224.738,6,2257,4529,2273,470.31,572.0,117.348,0.403696,9833.65,13047.5,2892.85,432.981,513.81,308,0.930181,6.14595,0.829648,100.504,95.0566,1.29611,pyramidal neuron,layer_2,layer_2,1level,29
28073943660_sort.swc,23799,207.835,5,1886,3780,1895,360.61,387.744,115.203,0.414606,7194.46,9620.1,1937.55,277.479,326.178,201,0.93288,5.29577,0.833065,100.391,95.9034,1.31174,pyramidal neuron,layer_2,layer_2,1level,29
28074133030_sort.swc,29228,222.276,5,2116,4238,2123,325.16,469.376,111.639,0.472613,8888.38,14040.5,4101.45,326.822,380.522,175,0.931882,5.89641,0.836056,100.339,94.2184,1.28943,pyramidal neuron,layer_2,layer_2,1level,29
28074644163_sort.swc,25330,229.298,8,1559,3126,1568,344.16,455.04,114.906,0.483433,7803.58,12797.4,3967.09,334.464,379.838,137,0.931296,7.10269,0.827456,99.8641,93.4088,1.23904,pyramidal neuron,layer_2,layer_2,1level,29
28075125335_sort.swc,39696,77.0148,6,3065,6142,3078,545.86,492.64,121.869,0.456709,11986.1,17553.8,3953.66,419.135,551.179,298,0.930786,5.46288,0.823943,100.656,94.9432,1.3178,pyramidal neuron,layer_2,layer_2,1level,29
28089317860_sort.swc,66281,183.412,5,5656,11338,5683,514.47,597.856,120.318,0.420642,19894.7,27089.9,7705.77,426.988,524.969,335,0.930168,4.84583,0.836951,100.099,94.3757,1.40783,pyramidal neuron,layer_2,layer_2,1level,7
28104912701_sort.swc,26965,177.723,3,1391,2790,1400,337.12,538.816,116.358,0.340538,8291.07,9153.49,1610.9,295.9,607.791,121,0.931651,8.66452,0.796369,101.765,96.0335,1.3002,pyramidal neuron,layer_2,layer_2,1level,29
28132464174_sort.swc,46449,196.16,2,3412,6845,3434,509.4,650.496,122.001,0.461955,14135.3,20903.2,5745.28,441.519,524.755,316,0.93133,5.78568,0.828985,100.363,95.1769,1.35523,pyramidal neuron,layer_3,layer_3,1level,7
28133427218_sort.swc,20054,103.852,4,1518,3041,1524,290.88,478.656,120.384,0.403284,6055.28,7988.84,1659.83,307.572,370.766,169,0.931474,5.59421,0.816217,99.351,93.3065,1.23536,pyramidal neuron,layer_2,layer_2,1level,29
2814810090_sort.swc,3945,213.484,4,210,424,215,186.31,232.094,84.546,0.585014,1255.37,2592.75,945.766,220.548,270.784,73,0.929009,8.30189,0.830584,102.264,95.6786,1.17013,pyramidal neuron,layer_4,layer_4,1level,32
28148729981_sort.swc,13758,139.554,5,952,1911,960,254.97,338.56,117.381,0.384322,4186.86,5297.58,959.508,239.114,300.491,117,0.928851,6.19885,0.792236,100.675,96.322,1.1969,pyramidal neuron,layer_2,layer_2,1level,29
28162878797_sort.swc,62322,116.458,3,5807,11663,5857,290.56,471.68,117.381,0.356621,18471.2,20756.0,3514.14,256.736,423.61,378,0.930168,4.34348,0.82275,99.7537,94.4259,1.40423,pyramidal neuron,layer_2,layer_2,1level,7
2817234973_sort.swc,49802,271.185,7,3933,7885,3953,502.24,696.414,174.405,0.459866,15089.9,22631.3,6193.59,448.897,513.188,251,0.928792,5.31592,0.837484,101.077,96.0228,1.36004,pyramidal neuron,layer_3,layer_3,1level,7
2820212798_sort.swc,12660,154.623,6,962,1929,968,235.56,314.338,66.627,0.40555,3851.44,5369.69,1488.61,188.565,228.966,148,0.929721,5.56247,0.827381,102.114,95.948,1.3433,pyramidal neuron,layer_2,layer_2,1level,32
28205280027_sort.swc,34738,239.352,4,2266,4537,2272,497.31,632.672,115.731,0.462525,10621.8,16206.6,4287.07,431.732,679.821,181,0.931063,6.65638,0.811912,100.34,94.1203,1.26749,pyramidal neuron,layer_3,layer_3,1level,29
28234962621_sort.swc,22363,256.575,4,1753,3511,1759,324.41,567.968,115.269,0.384479,6774.25,8398.6,1313.93,372.629,423.952,183,0.931341,5.36913,0.797221,100.734,94.4859,1.30588,pyramidal neuron,layer_2,layer_2,1level,29
28248075578_sort.swc,42854,148.476,5,3140,6289,3150,528.67,597.824,115.203,0.486435,13026.4,20806.5,7041.58,363.246,463.96,204,0.933302,5.81396,0.820775,101.784,95.7147,1.30867,pyramidal neuron,layer_3,layer_3,1level,7
28262471915_sort.swc,53370,416.591,5,4023,8069,4047,493.19,583.904,115.005,0.479284,16310.8,25758.2,8893.94,363.132,458.294,206,0.931983,5.61408,0.807449,100.735,95.1587,1.3378,pyramidal neuron,layer_3,layer_2,1level,7
28263610786_sort.swc,46788,194.589,7,3334,6688,3355,751.04,636.48,115.335,0.418037,14199.5,19265.4,4355.92,544.957,662.386,307,0.934023,5.99566,0.839107,100.768,95.3915,1.29871,pyramidal neuron,layer_2,layer_2,1level,7
28277700334_sort.swc,22590,300.798,9,1692,3396,1705,272.19,493.824,115.17,0.491165,6950.32,11559.0,3687.27,286.584,334.254,172,0.931376,5.65165,0.814518,100.584,95.3054,1.32593,pyramidal neuron,layer_2,layer_2,1level,29
28291834258_sort.swc,65221,996.317,8,5506,11042,5537,510.46,653.956,115.17,0.41646,19741.0,26966.8,5961.57,458.954,510.92,317,0.932031,4.90654,0.815842,100.123,95.2845,1.3789,pyramidal neuron,layer_3,layer_3,1level,6
28334980875_sort.swc,20872,433.146,6,1452,2914,1463,387.97,454.208,115.071,0.524795,6457.89,11779.2,4642.86,304.445,404.497,226,0.931812,6.16232,0.834153,100.644,95.018,1.29272,pyramidal neuron,layer_3,layer_3,1level,29
28349785311_sort.swc,33636,357.814,8,2319,4647,2329,548.73,601.248,114.741,0.502768,10355.6,18032.3,7263.51,363.258,482.927,222,0.930032,6.238,0.816971,100.511,94.8702,1.27647,pyramidal neuron,layer_3,layer_3,1level,29
28351362142_sort.swc,31596,94.1912,4,2500,5009,2510,508.8,539.104,119.427,0.457906,9489.45,13991.1,3359.59,467.118,577.178,269,0.937005,5.30765,0.833063,100.652,95.6142,1.27467,pyramidal neuron,layer_2,layer_2,1level,29
28366342582_sort.swc,53927,203.484,6,4167,8356,4190,531.39,655.62,119.592,0.434382,16312.8,22818.9,6256.47,400.394,480.36,329,0.930592,5.45357,0.83449,100.38,94.9281,1.36029,pyramidal neuron,layer_2,layer_2,1level,7
